4320,"Investicijski transferi občinam",396534828,
4321,"Investicijski transferi javnim skladom in agencijam",6315070,
4323,"Investicijski transferi javnim zavodom",176575475,
45,"Plačila sredstev v proračun Evropske unije",466191700,
450,"Plačila sredstev v proračun Evropske unije",466191700,
4500,"Plačila tradicionalnih lastnih sredstev v proračun Evropske unije",82962655,
4501,"Plačila sredstev v proračun EU iz naslova davka na dodano vrednost",56233362,
4502,"Plačila sredstev v proračun EU iz naslova bruto nacionalnega dohodka",309439229,
4503,"Plačila sredstev v proračun EU iz naslova poravka v korist Združenega Kraljestva",15075677,
4504,"Plačila sredstev v proračun EU iz naslova popravkov BND vira v korist Kraljevin Nizozemske in Švedske",2480777,
"III.","PRORAČUNSKI PRESEŽEK (PRORAČUNSKI PRIMANJKLJAJ) (I.-II.)",-1422665916,
"III./1.","PRIMARNI PRESEŽEK (PRIMANKLJAJ) (I.-7102)-(II.-403-404)",-847431038,
"IV.","PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV (750+751+752)",18776890,
75,"Prejeta vračila danih posojil in prodaja kapitalskih deležev",18776890,
750,"Prejeta vračila danih posojil",13384000,
7500,"Prejeta vračila danih posojil od posameznikov in zasebnikov",30000,
7501,"Prejeta vračila danih posojil – od javnih skladov",8354000,
7504,"Prejeta vračila danih posojil od privatnih podjetij",5000000,
751,"Prodaja kapitalskih deležev",3000000,
7514,"Prejeta vračila namenskega premoženja",3000000,
752,"Kupnine iz naslova privatizacije",2392890,
7520,"Sredstva kupnin iz naslova privatizacije",2392890,
"V.","DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV (440+441+442)",202421880,
44,"Dana posojila in povečanje kapitalskih deležev",202421880,
440,"Dana posojila",174388536,
4401,"Dana posojila javnim skladom",26500000,
4402,"Dana posojila javnim podjetjem in družbam, ki so v lasti države ali občin",72890,
4404,"Dana posojila privatnim podjetjem",50500000,
4406,"Dana posojila v tujino",85300000,
4409,"Plačila zapadlih poroštev",12015646,
441,"Povečanje kapitalskih deležev in finančnih naložb",3713344,
4410,"Povečanje kapitalskih deležev v javnih podjetjih in družbam, ki so v lasti države ali občin",2000000,
4414,"Povečanje kapitalskih deležev v tujino",1713344,
442,"Poraba sredstev kupnin iz naslova privatizacije",2120000,
4420,"Dana posojila iz sredstev kupnin",1000000,
4421,"Sredstva kupnin, razporejena v javne sklade in agencije",1120000,
443,"Povečanje namenskega premoženja v javnih skladih in drugih pravnih osebah javnega prava, ki imajo premoženje v svoji lasti",22200000,
4430,"Povečanje namenskega premoženja v javnih skladih",22200000,
"VI.","PREJETA MINUS DANA POSOJILA IN SPREMEMBE KAPITALSKIH DELEŽEV (IV.-V.)",-183644990,
"VII.","ZADOLŽEVANJE (500+501)",967756843,
50,"ZADOLŽEVANJE",967756843,
"VIII.","ODPLAČILA DOLGA (550+551)",1224463375,
55,"Odplačila dolga",1224463375,
550,"Odplačila domačega dolga",1214812429,
5501,"Odplačila kreditov poslovnim bankam",16684193,
5503,"Odplačila kreditov drugim domačim kreditodajalcem",0,
5504,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",1198128236,
551,"Odplačila dolga v tujino",9650947,
5510,"Odplačila dolga mednarodnim finančnim institucijam",9650947,
5512,"Odplačila dolga tujim poslovnim bankam in finančnim institucijam",0,
5514,"Odplačila glavnice vrednostnih papirjev, izdanih na tujih trgih",0,
"IX.","SPREMEMBA STANJA SREDSTEV NA RAČUNU (I.+IV.+VII.-II.-V.-VIII.)",-1863017438,
"X.","NETO ZADOLŽEVANJE (VII.-VIII.)",-256706532,
"XI.","NETO FINANCIRANJE (VI.+X.-IX.)",1422665916,
