"A","BILANCA ODHODKOV","",""
"05033203","Informacijska družba","12670234 12700628 12205608 96,3 96,1",""
"0504","Tehnološki razvoj","48425337 58141393 54230627 112,0 93,3",""
"05043201","Programi pospeševanja tehnološkega razvoja gospodarstva","48425337 58141393 54230627 112,0 93,3",""
"13","PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","28510067 28760067 28250248 99,1 98,2",""
"1306","Telekomunikacije in pošta","28510067 28760067 28250248 99,1 98,2",""
"13063202","Programi elektronskih komunikacij in pošte","28510067 28760067 28250248 99,1 98,2",""
"19","IZOBRAŽEVANJE","310164359 302765802 297581032 95,9 98,3",""
"1901","Urejanje izobraževalnega sistema","8164781 8993595 7589244 93,0 84,4",""
"19013201","Urejanje izobraževalnega sistema","8164781 8993595 7589244 93,0 84,4",""
"1904","Terciarno izobraževanje","282179584 274193790 270578184 95,9 98,7",""
"19043201","Visokošolsko izobraževanje","282179584 274193790 270578184 95,9 98,7",""
"1906","Pomoči šolajočim","19819994 19578418 19413604 98,0 99,2",""
"19063201","Študijske pomoči","19819994 19578418 19413604 98,0 99,2",""
"3212","Urad za meroslovje","3178274 3185818 2819373 88,7 88,5",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","3178274 3184901 2819373 88,7 88,5",""
"0503","Programi v podporo znanosti","3178274 3184901 2819373 88,7 88,5",""
"05033202","Nacionalni meroslovni sistem","3178274 3184901 2819373 88,7 88,5",""
"14","GOSPODARSTVO","0 917 0 - 0,0",""
"1401","Urejanje in nadzor na področju gospodarstva in varstva potrošnikov","0 917 0 - 0,0",""
"14013201","Nacionalni meroslovni sistem","0 917 0 - 0,0",""
"3214","Inšpektorat RS za elektronske komunikacije, elektronsko podpisovanje in pošto","280384 280384 271522 96,8 96,8",""
"13","PROMET, PROMETNA INFRASTRUKTURA IN KOMUNIKACIJE","280384 280384 271522 96,8 96,8",""
"1306","Telekomunikacije in pošta","280384 280384 271522 96,8 96,8",""
"13063201","Nadzor telekomunikacij in pošte","280384 280384 271522 96,8 96,8",""
"3311","Ministrstvo za šolstvo in šport","1319082699 1323137242 1299936776 98,6 98,3",""
"10","TRG DELA IN DELOVNI POGOJI","1148565 1148565 1126700 98,1 98,1",""
"1003","Aktivna politika zaposlovanja","1148565 1148565 1126700 98,1 98,1",""
"10033301","Izobraževanje in usposabljanje nezaposlenih","1148565 1148565 1126700 98,1 98,1",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","38024378 38529378 34886228 91,8 90,5",""
"1802","Ohranjanje kulturne dediščine","456774 456774 453588 99,3 99,3",""
"18023301","Kulturna dediščina v izobraževanju","456774 456774 453588 99,3 99,3",""
"1805","Šport in prostočasne aktivnosti","37567604 38072604 34432640 91,7 90,4",""
"18053302","Programi športa","37567604 38072604 34432640 91,7 90,4",""
"19","IZOBRAŽEVANJE","1279909756 1283459299 1263923848 98,8 98,5",""
"1901","Urejanje izobraževalnega sistema","41438880 43429423 39493731 95,3 90,9",""
"19013301","Urejanje izobraževalnega sistema","41438880 43429423 39493731 95,3 90,9",""
"1902","Varstvo in vzgoja predšolskih otrok","22136544 23286544 23276824 105,2 100,0",""
"19023301","Vrtci","22136544 23286544 23276824 105,2 100,0",""
"1903","Primarno in sekundarno izobraževanje","1120423128 1120652128 1111988138 99,3 99,2",""
"19033301","Osnovno šolstvo","741126779 742106779 741317972 100,0 99,9",""
"19033302","Splošno srednje in poklicno šolstvo","322387873 322387873 315436398 97,8 97,8",""
"19033303","Zavodi za usposabljanje","31679583 31679583 31331420 98,9 98,9",""
"19033304","Podporne storitve v primarnem in sekundarnem izobraževanju","25228893 24477893 23902348 94,7 97,7",""
"1904","Terciarno izobraževanje","17358634 17538634 17530184 101,0 100,0",""
"19043301","Višješolsko izobraževanje","17358634 17538634 17530184 101,0 100,0",""
"1905","Drugi izobraževalni programi","10715241 10715241 8594055 80,2 80,2",""
"19053301","Izobraževanje odraslih","9396256 9396256 7442224 79,2 79,2",""
"19053302","Druge oblike izobraževanja","1318985 1318985 1151832 87,3 87,3",""
"1906","Pomoči šolajočim","67837329 67837329 63040916 92,9 92,9",""
"19063301","Pomoči v osnovnem šolstvu","12529635 12529635 11517595 91,9 91,9",""
"19063302","Pomoči v srednjem šolstvu","55112020 55112020 51379162 93,2 93,2",""
"19063303","Študijske pomoči","195674 195674 144159 73,7 73,7",""
"3313","Urad RS za mladino","5865291 5901394 5523582 94,2 93,6",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","5865291 5901394 5523582 94,2 93,6",""
"1805","Šport in prostočasne aktivnosti","5865291 5901394 5523582 94,2 93,6",""
"18053301","Urejanje sistema dejavnosti za mladino","442373 442373 404990 91,6 91,6",""
"18053303","Programi za mladino","5422918 5459021 5118592 94,4 93,8",""
"3314","Inšpektorat RS za šolstvo in šport","982032 979744 945824 96,3 96,5",""
"19","IZOBRAŽEVANJE","982032 979744 945824 96,3 96,5",""
"1901","Urejanje izobraževalnega sistema","982032 979744 945824 96,3 96,5",""
"19013301","Urejanje izobraževalnega sistema","982032 979744 945824 96,3 96,5",""
"3511","Ministrstvo za kulturo","193862543 197751254 187816776 96,9 95,0",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","193016144 196904855 186986696 96,9 95,0",""
"1801","Urejanje in nadzor kulturnih dejavnosti","8033797 8435578 8049954 100,2 95,4",""
"18013501","Urejanje in nadzor kulturnih dejavnosti","8033797 8435578 8049954 100,2 95,4",""
"1802","Ohranjanje kulturne dediščine","64310475 65256423 59614233 92,7 91,4",""
"18023508","Ohranjanje kulturne dediščine","64310475 65256423 59614233 92,7 91,4",""
"1803","Programi v kulturi","120671872 123212854 119322509 98,9 96,8",""
"18033501","Umetniški programi","61949862 62492166 62445853 100,8 99,9",""
"18033503","Kulturni programi posebnih skupin v RS","2847697 2847697 2433384 85,5 85,5",""
"18033505","Mediji in avdiovizualna kultura","9703032 10173032 9969047 102,7 98,0",""
"18033506","Knjižničarstvo in založništvo","17475763 17623507 17562394 100,5 99,7",""
"18033508","Ljubiteljska kultura","5184123 5204123 5204123 100,4 100,0",""
"18033511","Drugi programi v kulturi","590486 590486 567986 96,2 96,2",""
"18033512","Nagrade in socialne pravice na področju kulture","5391336 5539252 5450132 101,1 98,4",""
"18033513","Investicije na področju kulture","17529573 18742591 15689591 89,5 83,7",""
"19","IZOBRAŽEVANJE","846399 846399 830080 98,1 98,1",""
"1906","Pomoči šolajočim","846399 846399 830080 98,1 98,1",""
"19063501","Štipendije na področju kulture","846399 846399 830080 98,1 98,1",""
"3513","Arhiv Republike Slovenije","3252859 3341007 3198032 98,3 95,7",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","3252859 3341007 3198032 98,3 95,7",""
"1802","Ohranjanje kulturne dediščine","3252859 3341007 3198032 98,3 95,7",""
"18023501","Urejanje in nadzor na področju kulturne dediščine","3252859 3341007 3198032 98,3 95,7",""
"3514","Inšpektorat RS za kulturo in medije","338890 338890 294106 86,8 86,8",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","338890 338890 294106 86,8 86,8",""
"1801","Urejanje in nadzor kulturnih dejavnosti","338890 338890 294106 86,8 86,8",""
"18013501","Urejanje in nadzor kulturnih dejavnosti","338890 338890 294106 86,8 86,8",""
"6201","Upravna enota Ajdovščina","1152837 1142462 1114039 96,6 97,5",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1152837 1142462 1114039 96,6 97,5",""
"0404","Upravne službe na lokalnem nivoju","1152837 1142462 1114039 96,6 97,5",""
"04046201","Administracija upravnih enot","1108977 1089563 1071937 96,7 98,4",""
"04046202","Upravne storitve upravnih enot","43860 52899 42102 96,0 79,6",""
"6202","Upravna enota Brežice","1246833 1275545 1247815 100,1 97,8",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1246833 1275545 1247815 100,1 97,8",""
"0404","Upravne službe na lokalnem nivoju","1246833 1275545 1247815 100,1 97,8",""
"04046201","Administracija upravnih enot","1208233 1209807 1204720 99,7 99,6",""
"04046202","Upravne storitve upravnih enot","38600 65738 43095 111,6 65,6",""
"6203","Upravna enota Celje","2908757 2960449 2857672 98,2 96,5",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","2908757 2960449 2857672 98,2 96,5",""
"0404","Upravne službe na lokalnem nivoju","2908757 2960449 2857672 98,2 96,5",""
"04046201","Administracija upravnih enot","2751677 2746979 2697563 98,0 98,2",""
"04046202","Upravne storitve upravnih enot","157080 213471 160109 101,9 75,0",""
"6204","Upravna enota Cerknica","925319 943140 920845 99,5 97,6",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","925319 943140 920845 99,5 97,6",""
"0404","Upravne službe na lokalnem nivoju","925319 943140 920845 99,5 97,6",""
"04046201","Administracija upravnih enot","885539 894882 885925 100,0 99,0",""
"04046202","Upravne storitve upravnih enot","39780 48258 34920 87,8 72,4",""
"6205","Upravna enota Črnomelj","903183 929553 914750 101,3 98,4",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","903183 929553 914750 101,3 98,4",""
"0404","Upravne službe na lokalnem nivoju","903183 929553 914750 101,3 98,4",""
"04046201","Administracija upravnih enot","879285 885259 879894 100,1 99,4",""
"04046202","Upravne storitve upravnih enot","23898 44294 34857 145,9 78,7",""
"6206","Upravna enota Domžale","1712660 1760128 1718952 100,4 97,7",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1712660 1760128 1718952 100,4 97,7",""
"0404","Upravne službe na lokalnem nivoju","1712660 1760128 1718952 100,4 97,7",""
"04046201","Administracija upravnih enot","1562773 1568701 1565919 100,2 99,8",""
"04046202","Upravne storitve upravnih enot","149887 191427 153033 102,1 79,9",""
"6207","Upravna enota Dravograd","587729 599726 572305 97,4 95,4",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","587729 599726 572305 97,4 95,4",""
"0404","Upravne službe na lokalnem nivoju","587729 599726 572305 97,4 95,4",""
"04046201","Administracija upravnih enot","570729 578180 557453 97,7 96,4",""
"04046202","Upravne storitve upravnih enot","17000 21546 14853 87,4 68,9",""
"6208","Upravna enota Gornja Radgona","1017708 1036541 1017110 99,9 98,1",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1017708 1036541 1017110 99,9 98,1",""
"0404","Upravne službe na lokalnem nivoju","1017708 1036541 1017110 99,9 98,1",""
"04046201","Administracija upravnih enot","984508 990089 982790 99,8 99,3",""
"04046202","Upravne storitve upravnih enot","33200 46452 34320 103,4 73,9",""
"6209","Upravna enota Grosuplje","1070046 1122430 1060885 99,1 94,5",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1070046 1122430 1060885 99,1 94,5",""
"0404","Upravne službe na lokalnem nivoju","1070046 1122430 1060885 99,1 94,5",""
"04046201","Administracija upravnih enot","984546 1023642 980703 99,6 95,8",""
"04046202","Upravne storitve upravnih enot","85500 98788 80182 93,8 81,2",""
"6210","Upravna enota Hrastnik","559033 567871 555508 99,4 97,8",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","559033 567871 555508 99,4 97,8",""
"0404","Upravne službe na lokalnem nivoju","559033 567871 555508 99,4 97,8",""
"04046201","Administracija upravnih enot","539113 534715 534211 99,1 99,9",""
"04046202","Upravne storitve upravnih enot","19920 33157 21298 106,9 64,2",""
"6211","Upravna enota Idrija","804796 819834 792609 98,5 96,7",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","804796 819834 792609 98,5 96,7",""
"0404","Upravne službe na lokalnem nivoju","804796 819834 792609 98,5 96,7",""
"04046201","Administracija upravnih enot","776236 781140 761624 98,1 97,5",""
"04046202","Upravne storitve upravnih enot","28560 38695 30985 108,5 80,1",""
"6212","Upravna enota Ilirska Bistrica","840024 849403 822625 97,9 96,9",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","840024 849403 822625 97,9 96,9",""
"0404","Upravne službe na lokalnem nivoju","840024 849403 822625 97,9 96,9",""
"04046201","Administracija upravnih enot","810407 794587 788759 97,3 99,3",""
"04046202","Upravne storitve upravnih enot","29617 54816 33866 114,4 61,8",""
"6213","Upravna enota Izola","800468 810904 787525 98,4 97,1",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","800468 810904 787525 98,4 97,1",""
"0404","Upravne službe na lokalnem nivoju","800468 810904 787525 98,4 97,1",""
"04046201","Administracija upravnih enot","773468 764096 753223 97,4 98,6",""
"04046202","Upravne storitve upravnih enot","27000 46809 34301 127,0 73,3",""
"6214","Upravna enota Jesenice","1192966 1190081 1172853 98,3 98,6",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1192966 1190081 1172853 98,3 98,6",""
"0404","Upravne službe na lokalnem nivoju","1192966 1190081 1172853 98,3 98,6",""
"04046201","Administracija upravnih enot","1123606 1114346 1110369 98,8 99,6",""
"04046202","Upravne storitve upravnih enot","69360 75736 62485 90,1 82,5",""
"6215","Upravna enota Kamnik","1146664 1178947 1141668 99,6 96,8",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1146664 1178947 1141668 99,6 96,8",""
"0404","Upravne službe na lokalnem nivoju","1146664 1178947 1141668 99,6 96,8",""
"04046201","Administracija upravnih enot","1061964 1072438 1065960 100,4 99,4",""
"04046202","Upravne storitve upravnih enot","84700 106509 75708 89,4 71,1",""
"6216","Upravna enota Kočevje","820636 850098 823403 100,3 96,9",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","820636 850098 823403 100,3 96,9",""
"0404","Upravne službe na lokalnem nivoju","820636 850098 823403 100,3 96,9",""
"04046201","Administracija upravnih enot","796136 798615 791482 99,4 99,1",""
"04046202","Upravne storitve upravnih enot","24500 51483 31922 130,3 62,0",""
"6217","Upravna enota Koper","1820010 1859975 1807784 99,3 97,2",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1820010 1859975 1807784 99,3 97,2",""
"0404","Upravne službe na lokalnem nivoju","1820010 1859975 1807784 99,3 97,2",""
"04046201","Administracija upravnih enot","1700670 1699911 1692426 99,5 99,6",""
"04046202","Upravne storitve upravnih enot","119340 160064 115359 96,7 72,1",""
"6218","Upravna enota Kranj","2854891 2876208 2790789 97,8 97,0",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","2854891 2876208 2790789 97,8 97,0",""
"0404","Upravne službe na lokalnem nivoju","2854891 2876208 2790789 97,8 97,0",""
"04046201","Administracija upravnih enot","2663131 2667250 2611602 98,1 97,9",""
"04046202","Upravne storitve upravnih enot","191760 208959 179187 93,4 85,8",""
"6219","Upravna enota Krško","1385812 1399014 1378755 99,5 98,6",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1385812 1399014 1378755 99,5 98,6",""
"0404","Upravne službe na lokalnem nivoju","1385812 1399014 1378755 99,5 98,6",""
"04046201","Administracija upravnih enot","1331912 1331984 1323640 99,4 99,4",""
"04046202","Upravne storitve upravnih enot","53900 67030 55115 102,3 82,2",""
"6220","Upravna enota Laško","843820 843382 829969 98,4 98,4",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","843820 843382 829969 98,4 98,4",""
"0404","Upravne službe na lokalnem nivoju","843820 843382 829969 98,4 98,4",""
"04046201","Administracija upravnih enot","797820 791640 788916 98,9 99,7",""
"04046202","Upravne storitve upravnih enot","46000 51742 41052 89,2 79,3",""
"6221","Upravna enota Lenart","673388 689820 652482 96,9 94,6",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","673388 689820 652482 96,9 94,6",""
"0404","Upravne službe na lokalnem nivoju","673388 689820 652482 96,9 94,6",""
"04046201","Administracija upravnih enot","646058 647297 621829 96,3 96,1",""
"04046202","Upravne storitve upravnih enot","27330 42523 30653 112,2 72,1",""
"6222","Upravna enota Lendava","1118414 1124813 1098784 98,2 97,7",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1118414 1124813 1098784 98,2 97,7",""
"0404","Upravne službe na lokalnem nivoju","1118414 1124813 1098784 98,2 97,7",""
"04046201","Administracija upravnih enot","1070896 1077854 1057989 98,8 98,2",""
"04046202","Upravne storitve upravnih enot","47518 46959 40795 85,9 86,9",""
"6223","Upravna enota Litija","859072 883126 862392 100,4 97,7",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","859072 883126 862392 100,4 97,7",""
"0404","Upravne službe na lokalnem nivoju","859072 883126 862392 100,4 97,7",""
"04046201","Administracija upravnih enot","823872 829183 821380 99,7 99,1",""
"04046202","Upravne storitve upravnih enot","35200 53943 41012 116,5 76,0",""
"6224","Upravna enota Ljubljana","10503241 10925480 10571010 100,7 96,8",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","10503241 10925480 10571010 100,7 96,8",""
"0404","Upravne službe na lokalnem nivoju","10503241 10925480 10571010 100,7 96,8",""
"04046201","Administracija upravnih enot","9599682 9715830 9609086 100,1 98,9",""
"04046202","Upravne storitve upravnih enot","903559 1209651 961923 106,5 79,5",""
"6225","Upravna enota Ljutomer","794378 805547 780646 98,3 96,9",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","794378 805547 780646 98,3 96,9",""
"0404","Upravne službe na lokalnem nivoju","794378 805547 780646 98,3 96,9",""
"04046201","Administracija upravnih enot","760378 755797 748032 98,4 99,0",""
"04046202","Upravne storitve upravnih enot","34000 49750 32614 95,9 65,6",""
"6226","Upravna enota Logatec","726300 765205 750820 103,4 98,1",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","726300 765205 750820 103,4 98,1",""
"0404","Upravne službe na lokalnem nivoju","726300 765205 750820 103,4 98,1",""
"04046201","Administracija upravnih enot","691476 722767 717803 103,8 99,3",""
"04046202","Upravne storitve upravnih enot","34824 42438 33018 94,8 77,8",""
"6227","Upravna enota Maribor","4583179 4819151 4648437 101,4 96,5",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","4583179 4819151 4648437 101,4 96,5",""
"0404","Upravne službe na lokalnem nivoju","4583179 4819151 4648437 101,4 96,5",""
"04046201","Administracija upravnih enot","4341179 4393298 4335604 99,9 98,7",""
"04046202","Upravne storitve upravnih enot","242000 425853 312833 129,3 73,5",""
"6228","Upravna enota Metlika","659774 676673 638571 96,8 94,4",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","659774 676673 638571 96,8 94,4",""
"0404","Upravne službe na lokalnem nivoju","659774 676673 638571 96,8 94,4",""
"04046201","Administracija upravnih enot","638354 640476 614702 96,3 96,0",""
"04046202","Upravne storitve upravnih enot","21420 36197 23870 111,4 65,9",""
"6229","Upravna enota Mozirje","853054 869398 851742 99,9 98,0",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","853054 869398 851742 99,9 98,0",""
"0404","Upravne službe na lokalnem nivoju","853054 869398 851742 99,9 98,0",""
"04046201","Administracija upravnih enot","820654 827921 821253 100,1 99,2",""
"04046202","Upravne storitve upravnih enot","32400 41477 30489 94,1 73,5",""
"6230","Upravna enota Murska Sobota","2436560 2490003 2449762 100,5 98,4",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","2436560 2490003 2449762 100,5 98,4",""
"0404","Upravne službe na lokalnem nivoju","2436560 2490003 2449762 100,5 98,4",""
"04046201","Administracija upravnih enot","2339140 2376146 2362895 101,0 99,4",""
"04046202","Upravne storitve upravnih enot","97420 113857 86867 89,2 76,3",""
"6231","Upravna enota Nova Gorica","2501518 2552393 2492012 99,6 97,6",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","2501518 2552393 2492012 99,6 97,6",""
"0404","Upravne službe na lokalnem nivoju","2501518 2552393 2492012 99,6 97,6",""
"04046201","Administracija upravnih enot","2405398 2403241 2383617 99,1 99,2",""
"04046202","Upravne storitve upravnih enot","96120 149152 108395 112,8 72,7",""
"6232","Upravna enota Novo mesto","2493194 2502923 2447505 98,2 97,8",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","2493194 2502923 2447505 98,2 97,8",""
"0404","Upravne službe na lokalnem nivoju","2493194 2502923 2447505 98,2 97,8",""
"04046201","Administracija upravnih enot","2370622 2356846 2337150 98,6 99,2",""
"04046202","Upravne storitve upravnih enot","122572 146077 110355 90,0 75,6",""
"6233","Upravna enota Ormož","865002 875687 859012 99,3 98,1",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","865002 875687 859012 99,3 98,1",""
"0404","Upravne službe na lokalnem nivoju","865002 875687 859012 99,3 98,1",""
"04046201","Administracija upravnih enot","837462 840060 833387 99,5 99,2",""
"04046202","Upravne storitve upravnih enot","27540 35627 25625 93,1 71,9",""
"6234","Upravna enota Pesnica","857780 858648 838640 97,8 97,7",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","857780 858648 838640 97,8 97,7",""
"0404","Upravne službe na lokalnem nivoju","857780 858648 838640 97,8 97,7",""
"04046201","Administracija upravnih enot","821680 817266 807476 98,3 98,8",""
"04046202","Upravne storitve upravnih enot","36100 41383 31165 86,3 75,3",""
"6235","Upravna enota Piran","929991 940010 917194 98,6 97,6",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","929991 940010 917194 98,6 97,6",""
"0404","Upravne službe na lokalnem nivoju","929991 940010 917194 98,6 97,6",""
"04046201","Administracija upravnih enot","886991 883093 874487 98,6 99,0",""
"04046202","Upravne storitve upravnih enot","43000 56917 42707 99,3 75,0",""
"6236","Upravna enota Postojna","1038051 1045648 1020017 98,3 97,6",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1038051 1045648 1020017 98,3 97,6",""
"0404","Upravne službe na lokalnem nivoju","1038051 1045648 1020017 98,3 97,6",""
"04046201","Administracija upravnih enot","994987 987123 974382 97,9 98,7",""
"04046202","Upravne storitve upravnih enot","43064 58525 45635 106,0 78,0",""
"6237","Upravna enota Ptuj","2455364 2534859 2413656 98,3 95,2",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","2455364 2534859 2413656 98,3 95,2",""
"0404","Upravne službe na lokalnem nivoju","2455364 2534859 2413656 98,3 95,2",""
"04046201","Administracija upravnih enot","2352164 2367371 2295980 97,6 97,0",""
"04046202","Upravne storitve upravnih enot","103200 167488 117676 114,0 70,3",""
"6238","Upravna enota Radlje ob Dravi","730607 736528 712992 97,6 96,8",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","730607 736528 712992 97,6 96,8",""
"0404","Upravne službe na lokalnem nivoju","730607 736528 712992 97,6 96,8",""
"04046201","Administracija upravnih enot","700047 693788 679454 97,1 97,9",""
"04046202","Upravne storitve upravnih enot","30560 42739 33538 109,7 78,5",""
"6239","Upravna enota Radovljica","1387491 1416709 1366926 98,5 96,5",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1387491 1416709 1366926 98,5 96,5",""
"0404","Upravne službe na lokalnem nivoju","1387491 1416709 1366926 98,5 96,5",""
"04046201","Administracija upravnih enot","1326521 1321819 1299205 97,9 98,3",""
"04046202","Upravne storitve upravnih enot","60970 94890 67721 111,1 71,4",""
"6240","Upravna enota Ravne na Koroškem","1019030 1029004 1001477 98,3 97,3",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1019030 1029004 1001477 98,3 97,3",""
"0404","Upravne službe na lokalnem nivoju","1019030 1029004 1001477 98,3 97,3",""
"04046201","Administracija upravnih enot","976030 973009 957139 98,1 98,4",""
"04046202","Upravne storitve upravnih enot","43000 55994 44338 103,1 79,2",""
"6241","Upravna enota Ribnica","664326 678193 660949 99,5 97,5",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","664326 678193 660949 99,5 97,5",""
"0404","Upravne službe na lokalnem nivoju","664326 678193 660949 99,5 97,5",""
"04046201","Administracija upravnih enot","642826 638996 635297 98,8 99,4",""
"04046202","Upravne storitve upravnih enot","21500 39197 25653 119,3 65,5",""
"6242","Upravna enota Ruše","917971 909667 872080 95,0 95,9",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","917971 909667 872080 95,0 95,9",""
"0404","Upravne službe na lokalnem nivoju","917971 909667 872080 95,0 95,9",""
"04046201","Administracija upravnih enot","878571 871331 843332 96,0 96,8",""
"04046202","Upravne storitve upravnih enot","39400 38337 28747 73,0 75,0",""
"6243","Upravna enota Sevnica","806971 799811 792644 98,2 99,1",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","806971 799811 792644 98,2 99,1",""
"0404","Upravne službe na lokalnem nivoju","806971 799811 792644 98,2 99,1",""
"04046201","Administracija upravnih enot","777751 766645 763700 98,2 99,6",""
"04046202","Upravne storitve upravnih enot","29220 33166 28944 99,1 87,3",""
"6244","Upravna enota Sežana","1207632 1227527 1201335 99,5 97,9",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1207632 1227527 1201335 99,5 97,9",""
"0404","Upravne službe na lokalnem nivoju","1207632 1227527 1201335 99,5 97,9",""
"04046201","Administracija upravnih enot","1157112 1154875 1146857 99,1 99,3",""
"04046202","Upravne storitve upravnih enot","50520 72652 54478 107,8 75,0",""
"6245","Upravna enota Slovenj Gradec","939269 961459 914635 97,4 95,1",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","939269 961459 914635 97,4 95,1",""
"0404","Upravne službe na lokalnem nivoju","939269 961459 914635 97,4 95,1",""
"04046201","Administracija upravnih enot","901269 904259 870027 96,5 96,2",""
"04046202","Upravne storitve upravnih enot","38000 57200 44608 117,4 78,0",""
"6246","Upravna enota Slovenska Bistrica","1212774 1233741 1205390 99,4 97,7",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","1212774 1233741 1205390 99,4 97,7",""
"0404","Upravne službe na lokalnem nivoju","1212774 1233741 1205390 99,4 97,7",""
"04046201","Administracija upravnih enot","1170774 1153160 1143549 97,7 99,2",""
"04046202","Upravne storitve upravnih enot","42000 80580 61840 147,2 76,7",""
"6247","Upravna enota Slovenske Konjice","928057 947422 918968 99,0 97,0",""
