"A","BILANCA ODHODKOV","",""
"0403","Druge skupne administrativne službe","14317935 17235284 14997285 104,7 87,0",""
"04031511","Statistične storitve","14267934 17185283 14959177 104,8 87,1",""
"04031512","Popis prebivalstva","50001 50001 38109 76,2 76,2",""
"1532","Urad RS za makroekonomske analize in razvoj","2671515 2733313 2692529 100,8 98,5",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","2671515 2733313 2692529 100,8 98,5",""
"0201","Makro-ekonomsko planiranje, spremljanje in nadzor","2671515 2733313 2692529 100,8 98,5",""
"02011501","Analiza in napovedovanje gospodarskih in razvojnih gibanj ter politik","2671515 2733313 2692529 100,8 98,5",""
"1611","Ministrstvo za finance","2330757860 2247955303 2216987170 95,1 98,6",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","33628670 33757079 32266873 96,0 95,6",""
"0202","Urejanje na področju fiskalne politike","32886670 33015079 31566002 96,0 95,6",""
"02021601","Urejanje na področju fiskalne politike","24235912 24364321 23162912 95,6 95,1",""
"02021602","Fiskalni sistem","8650758 8650758 8403090 97,1 97,1",""
"0203","Fiskalni nadzor","320000 320000 320000 100,0 100,0",""
"02031602","Dejavnost javnih agencij za nadzor","320000 320000 320000 100,0 100,0",""
"0205","Privatizacija in nadzor","422000 422000 380870 90,3 90,3",""
"02051601","Nasledstvo","20000 20000 0 0,0 0,0",""
"02051602","Program privatizacije in upravljanje z državnim premoženjem","402000 402000 380870 94,7 94,7",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","3660794 3660794 3397566 92,8 92,8",""
"0302","Mednarodno sodelovanje in udeležba","71014 71014 71014 100,0 100,0",""
"03021601","Sodelovanje z mednarodnimi institucijami","71014 71014 71014 100,0 100,0",""
"0303","Mednarodna pomoč","3589780 3589780 3326552 92,7 92,7",""
"03031601","Mednarodna razvojna in humanitarna pomoč","3589780 3589780 3326552 92,7 92,7",""
"09","PRAVOSODJE","6356076 8830067 8829446 138,9 100,0",""
"0905","Odškodnine","6356076 8830067 8829446 138,9 100,0",""
"09051601","Odškodnine po sodnih sklepih","1000000 2084422 2083804 208,4 100,0",""
"09051602","Vračila vlaganj v javno telekomunikacijsko omrežje","5356076 6745645 6745642 125,9 100,0",""
"14","GOSPODARSTVO","1210000 710000 649766 53,7 91,5",""
"1402","Pospeševanje in podpora gospodarski dejavnosti","1210000 710000 649766 53,7 91,5",""
