"",""," ",""
"",""," ",""
""," POSEBNI DEL ZAKLJUČNEGA RAČUNA PRORAČUNA","II2 ",""
"","","II POSEBNI DEL",""
"","","v EUR",""
"","BLC / NADSKUPINA / SPU / PU / POL / PRG / POD","Rebalans Veljavni Realizacija Real /  Real / ",""
"1716","Inšpektorat za javni sektor","618932 615932 600851 97,08 97,55",""
"04","SPLOŠNE JAVNE STORITVE IN SKUPNE ADMINISTRATIVNE SLUŽBE","618932 615932 600851 97,08 97,55",""
"0404","Druge skupne administrativne službe","618932 615932 600851 97,08 97,55",""
"040402","Nadzor na področju javne uprave","618932 615932 600851 97,08 97,55",""
"18","MINISTRSTVO ZA ZUNANJE ZADEVE","82852463 88978669 86216544 104,06 96,90",""
"1811","Ministrstvo za zunanje zadeve","82852463 88978669 86216544 104,06 96,90",""
"03","ZUNANJA POLITIKA IN MEDNARODNO RAZVOJNO SODELOVANJE","82749770 88875976 86147114 104,11 96,93",""
"0301","Politična diplomacija in konzularne storitve","64883016 71177624 68684471 105,86 96,50",""
"030101","Izvajanje zunanje politike","18205243 17488733 17265204 94,84 98,72",""
"030102","Multilateralno sodelovanje","5933982 13090342 13044603 219,83 99,65",""
"030103","Predstavljanje Republike Slovenije v tujini","40743791 40598550 38374664 94,19 94,52",""
"0302","Gospodarska diplomacija","8189564 8026897 7895216 96,41 98,36",""
"030201","Gospodarsko sodelovanje","7888669 7756002 7729519 97,98 99,66",""
"030202","Promocija slovenskega gospodarstva za tuje trge","300895 270895 165697 55,07 61,17",""
"0303","Mednarodno razvojno sodelovanje in humanitarna pomoč","9677190 9671456 9567427 98,87 98,92",""
"030301","Medinstitucionalno sodelovanje","96344 96344 8569 8,89 8,89",""
"030303","Razvojno sodelovanje in mednarodna pomoč","9580846 9575112 9558858 99,77 99,83",""
"","","2014 2014 2014",""
"18","KULTURA IN CIVILNA DRUŽBA","102693 102693 69429 67,61 67,61",""
"1803","Programi v kulturi in mediji","102693 102693 69429 67,61 67,61",""
"180303","Mednarodno sodelovanje na področju kulture","102693 102693 69429 67,61 67,61",""
"19","MINISTRSTVO ZA OBRAMBO","341323075 344070398 339949130 99,60 98,80",""
"1911","Ministrstvo za obrambo","40514525 41399076 38349596 94,66 92,63",""
"07","OBRAMBA IN ZAŠČITA","40514525 41399076 38349596 94,66 92,63",""
"0701","Upravljanje obrambnega sistema in krizno upravljanje","40514525 41399076 38349596 94,66 92,63",""
"070101","Skupne obrambne funkcije in obrambno načrtovanje","25153787 24991464 24830158 98,71 99,35",""
"070102","Mednarodno obrambno sodelovanje","6174042 6474278 6402464 103,70 98,89",""
"070103","Oprema in infrastruktura","9186696 9933334 7116975 77,47 71,65",""
"1912","Uprava RS za zaščito in reševanje","32426860 33998001 33155052 102,25 97,52",""
"07","OBRAMBA IN ZAŠČITA","32426860 33998001 33155052 102,25 97,52",""
"0703","Varstvo pred naravnimi in drugimi nesrečami","32426860 33998001 33155052 102,25 97,52",""
"070301","Delovanje sistema za zaščito, reševanje in pomoč","18038389 19681565 18883883 104,69 95,95",""
"070302","Pripravljenost sistema za zaščito, reševanje in pomoč","14388471 14316435 14271169 99,18 99,68",""
"1913","Inšpektorat RS za varstvo pred naravnimi in drugimi nesrečami","2048424 2049201 2048107 99,98 99,95",""
"07","OBRAMBA IN ZAŠČITA","2048424 2049201 2048107 99,98 99,95",""
"0703","Varstvo pred naravnimi in drugimi nesrečami","2048424 2049201 2048107 99,98 99,95",""
"070303","Inšpekcijske in prekrškovne naloge","2048424 2049201 2048107 99,98 99,95",""
"1914","Generalštab Slovenske vojske","265707354 266008596 265781415 100,03 99,91",""
"07","OBRAMBA IN ZAŠČITA","265707354 266008596 265781415 100,03 99,91",""
"0702","Vojaška obramba","265707354 266008596 265781415 100,03 99,91",""
"070201","Upravljanje, izobraževanje in oskrba kadrov slovenske vojske","212653433 213255253 213232919 100,27 99,99",""
"070202","Operativno delovanje in pripravljenost slovenske vojske","43529767 43164214 42959923 98,69 99,53",""
"070203","Infrastruktura in opremljenost slovenske vojske","3921475 3554897 3554848 90,65 100,00",""
"070204","Članstvo v mednarodnih organizacijah in sodelovanje z domačim okoljem","5602679 6034232 6033725 107,69 99,99",""
"1915","Inšpektorat RS za obrambo","625912 615524 614961 98,25 99,91",""
"07","OBRAMBA IN ZAŠČITA","625912 615524 614961 98,25 99,91",""
"0701","Upravljanje obrambnega sistema in krizno upravljanje","625912 615524 614961 98,25 99,91",""
"070104","Nadzor na področju obrambe","625912 615524 614961 98,25 99,91",""
"203","MINISTRSTVO ZA PRAVOSODJE","64951996 68318013 63655960 98,00 93,18",""
"2030","Ministrstvo za pravosodje","31165306 33875777 29795309 95,60 87,95",""
"04","SPLOŠNE JAVNE STORITVE IN SKUPNE ADMINISTRATIVNE SLUŽBE","16611879 19307379 15758453 94,86 81,62",""
"0402","Ravnanje s stvarnim premoženjem","16611879 19307379 15758453 94,86 81,62",""
"040201","Prostorski in drugi pogoji za delo državnih organov","8589180 9624003 8247543 96,02 85,70",""
"040202","Upravljanje stanovanj, počitniških enot in garaž","2245180 3457425 1476903 65,78 42,72",""
