"","A Bilanca odhodkov","9652121502",""
"130303","Razvojno sodelovanje in humanitarna pomoč","442626",""
"13030304","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","442626",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","5689076",""
"1402","Ekonomska in javnofinančna politika","1661176",""
"140201","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","1661176",""
"14020103","Razvojno načrtovanje in strukturne reforme","1661176",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","4027900",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","4027900",""
"14030109","Koordinacija evropskih zadev","1674821",""
"14030110","Podporna dejavnosti in administracija SVREZ","2353079",""
"151","SLUŽBA VLADE RS ZA LOKALNO SAMOUPRAVO IN REGIONALNO POLITIKO","183901147",""
"1536","Služba Vlade RS za lokalno samoupravo in regionalno politiko","183901147",""
"01","PODJETNIŠTVO IN KONKURENČNOST","144786658",""
"0103","Spodbujanje konkurenčnosti na regionalni ravni","144786658",""
"010301","Razvoj regij","144786658",""
"01030101","Dodatni začasni ukrepi za problemska območja","18784786",""
"01030102","Mednarodno teritorialno sodelovanje","7497683",""
"01030103","Regionalni razvoj","118314190",""
"01030104","Sistem regionalne politike","190000",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","39114488",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","29637482",""
"140104","Lokalna samouprava","29637482",""
"14010401","Investicije v občinah","26369341",""
"14010402","Sistem lokalne samouprave","3268141",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","9477006",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","9477006",""
"14030107","Sistem kohezijske politike","5627110",""
"14030108","Vodenje regionalne politike","3849896",""
"152","SLOVENSKA OBVEŠČEVALNO-VARNOSTNA AGENCIJA","15626254",""
"1524","Slovenska obveščevalno - varnostna agencija","15626254",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","15626254",""
"1302","Notranje zadeve in nacionalna varnost","15626254",""
"130203","Obveščevalno-varnostna dejavnost","15626254",""
"13020302","Zagotavljanje obveščevalno-varnostnih informacij za odjemalce, pridobljene s tehničnimi sredstvi (SIGINT), varnih elektronskih komunikacij in sodobne informacijsko-telekomunikacijske podpore vsem sistemskim funkcijam","4990592",""
"13020303","Zagotavljanje obveščevalno-varnostnih informacij za odjemalce, pridobljene z obveščevalnim delom človeških virov in mednarodnim sodelovanjem (HUMINT)","10635662",""
"1539","SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA PODNEBNE SPREMEMBE","767157",""
"1539","Služba Vlade Republike Slovenije za podnebne spremembe","767157",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","767157",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","767157",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","767157",""
"09040103","Oblikovanje podnebnih politik in zakonodaje, ter izvajanje","767157",""
"154","URAD VLADE RS ZA SLOVENCE V ZAMEJSTVU IN PO SVETU","10676140",""
"1537","Urad Vlade RS za Slovence v zamejstvu in po svetu","10676140",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","10676140",""
"1202","Podpora nevladnih organizacij in civilne družbe","10676140",""
"120201","Podpora nevladnih organizacij in civilne družbe","10676140",""
"12020105","Podpora Slovencem izven Republike Slovenije","10676140",""
"155","SLUŽBA VLADE ZA ZAKONODAJO","2292419",""
"1517","Služba vlade za zakonodajo","2292419",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","2292419",""
"1503","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","2292419",""
"150301","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","2292419",""
"15030101","Zagotavljanje delovanja pravne države","2292419",""
"156","STATISTIČNI URAD REPUBLIKE SLOVENIJE","13857451",""
"1522","Statistični urad Republike Slovenije","13857451",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","13857451",""
"1402","Ekonomska in javnofinančna politika","13857451",""
"140201","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","13857451",""
"14020101","Statistične storitve","13857451",""
"159","URAD RS ZA MAKROEKONOMSKE ANALIZE IN RAZVOJ","2559643",""
"1532","Urad RS za makroekonomske analize in razvoj","2559643",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","2559643",""
"1402","Ekonomska in javnofinančna politika","2559643",""
"140201","Podlage ekonomske in razvojne politike ter priprava makroekonomskih analiz in napovedi","2559643",""
"14020102","Priprava podlag in analiz ekonomske in razvojne politike","2559643",""
"16","MINISTRSTVO ZA FINANCE","2636676787",""
"1611","Ministrstvo za finance","2459946813",""
"01","PODJETNIŠTVO IN KONKURENČNOST","3110108",""
"0102","Spodbujanje rasti in razvoja podjetij","3110108",""
"010202","Spodbujanje tujih investicij in odprtosti gospodarstva","1800000",""
"01020204","Dodeljevanje finančnih spodbud in financiranje","1800000",""
"010204","Podpora prestrukturiranju nefinančnih družb","1310108",""
"01020401","Izdajanje poroštev in jamstev države","944584",""
"01020402","Upravljanje s finančnim premoženjem države","365524",""
"10","SOCIALNA VARNOST","1435431156",""
"1003","Pokojninsko in invalidsko varstvo","1435431156",""
"100301","Pokojnine","1435431156",""
"10030101","Izplačevanje vseh pravic na podlagi pokojninskega in invalidskega zavarovanja","1435431156",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","4054126",""
"1303","Zunanja politika","4054126",""
"130303","Razvojno sodelovanje in humanitarna pomoč","4054126",""
"13030305","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","4054126",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","46622424",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","15416760",""
"140104","Lokalna samouprava","15416760",""
"14010404","Dopolnilna sredstva občinam","15416760",""
