,, ,
,, ,
,,II2 ,
160103,Stroški financiranja in upravljanja z dolgom,"4573682 21830436 477,31",
16010301,Obveznosti iz naslova stroškov financiranja,"4573682 21830436 477,31",
,in upravljanja z dolgom,,
1602,Plačila v Evropsko unijo,"403358016 390301186 96,76",
160201,Plačila sredstev v proračun Evropske unije,"403358016 390301186 96,76",
16020101,Plačila sredstev v proračun EU,"403358016 390301186 96,76",
,,Stran 4 od 37,
,,v eurih,
,BLC / NADSKUPINA / SPU / PU / PO / PG / PPG / DE,Rebalans II Realizacija Real / Reb II,
,,prora&#269;una&#202;2012 prora&#269;una&#202;2012,
1603,Oblikovanje rezerv in intervencijski programi,"126787552 18896559 14,90",
160301,Splošna proračunska rezervacija,"107890993 0 0,00",
16030101,Splošna proračunska rezervacija,"107890993 0 0,00",
160302,Posebna proračunska rezerva in programi pomoči,"18896559 18896559 100,00",
,v primerih nesreč,,
16030203,Posebna proračunska rezerva in programi,"18896559 18896559 100,00",
,pomoči v primerih nesreč,,
1612,Davčna uprava RS,"98401219 99356210 100,97",
12,INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE,"3283150 4334273 132,02",
,DRUŽBE,,
1202,Podpora nevladnih organizacij in civilne družbe,"3283150 4334273 132,02",
120201,Podpora nevladnih organizacij in civilne družbe,"3283150 4334273 132,02",
12020103,Donacije dela dohodnine,"3283150 4334273 132,02",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"95118069 95021937 99,90",
1401,Upravljanje sistemov javne uprave na državni in,"247169 236843 95,82",
,lokalni ravni,,
140102,Ravnanje s stvarnim premoženjem,"247169 236843 95,82",
14010203,Zagotavljanje prostorskih in drugih pogojev,"247169 236843 95,82",
,za delo državnih organov,,
1402,Ekonomska in javnofinančna politika,"94870900 94785094 99,91",
140203,Davčna in carinska administracija,"94870900 94785094 99,91",
14020301,Pobiranje javnofinančnih prihodkov,"94870900 94785094 99,91",
1613,Carinska uprava RS,"56049803 56570751 100,93",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"56049803 56570751 100,93",
1402,Ekonomska in javnofinančna politika,"56049803 56570751 100,93",
140203,Davčna in carinska administracija,"56049803 56570751 100,93",
14020302,"Pobiranje javnofinančnih prihodkov,","56049803 56570751 100,93",
,trošarinski in  okoljski davčni nadzor ter,,
,carinski nadzor zunanje meja EU,,
1615,Urad RS za preprečevanje pranja denarja,"628410 588401 93,63",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"628410 588401 93,63",
1402,Ekonomska in javnofinančna politika,"628410 588401 93,63",
140202,Urejanje na področju javnofinančne politike ter,"628410 588401 93,63",
,fiskalni nadzor,,
14020205,Izvajanje nadzora nad preprečevanje pranja,"628410 588401 93,63",
,denarja in preprečevanjem terorizma,,
1617,Urad RS za nadzor prirejanja iger na srečo,"1198670 1219584 101,74",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"1198670 1219584 101,74",
1402,Ekonomska in javnofinančna politika,"1198670 1219584 101,74",
140202,Urejanje na področju javnofinančne politike ter,"1198670 1219584 101,74",
,fiskalni nadzor,,
14020204,Izvajanje nadzora nad klasičnimi in,"1198670 1219584 101,74",
,posebnimi igrami na srečo,,
1618,Uprava RS za javna plačila,"6508359 6621418 101,74",
14,UPRAVLJANJE SISTEMOV JAVNE UPRAVE,"6508359 6621418 101,74",
1402,Ekonomska in javnofinančna politika,"6508359 6621418 101,74",
