"","A Bilanca odhodkov","9013907176",""
"01020404","Zapiranje rudnikov in sanacija rudarske škode","926250",""
"01020406","Podpora podprogramu 010204","348877",""
"0103","Spodbujanje konkurenčnosti na regionalni ravni","125775264",""
"010301","Razvoj regij","125775264",""
"01030101","Dodatni začasni ukrepi za problemska območja","18492832",""
"01030102","Mednarodno teritorialno sodelovanje","8937875",""
"01030103","Regionalni razvoj","98124557",""
"01030104","Sistem regionalne politike","220000",""
"0104","Urejanje sistema, podporne dejavnosti in administracija na področju spodbujanja podjetništva in konkurenčnosti","3901579",""
"010401","Dejavnosti institucij, tehnična pomoč in administracija na področju spodbujanja podjetništva in konkurenčnosti","3901579",""
"01040101","Generalni sekretariat","3901579",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","21392793",""
"0202","Znanstveno - raziskovalna dejavnost","7980884",""
"020202","Človeški viri v podporo znanosti, visokega šolstva in tehnološkega razvoja","7980884",""
"02020201","Človeški viri v podporo gospodarstvu","1059807",""
"02020202","Znanje za razvoj","6921077",""
"0203","Tehnologija in informacijska družba","13411908",""
"020301","Podpora tehnološkim razvojnim projektom","13411908",""
"02030102","Spodbujanje tehnološkega razvoja in inovativnosti","7220000",""
"02030104","Spodbujanje tehnološkega razvoja in inovativnosti","6191908",""
"020303","Elektronske komunikacije","0",""
"02030302","Inšpekcijski nadzor s področja elektronskih komunikacij, elektronskega podpisa in pošte","0",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","960250",""
"1303","Zunanja politika","960250",""
"130303","Razvojno sodelovanje in humanitarna pomoč","870520",""
"13030304","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","75065",""
"13030310","Bilateralno razvojno sodelovanje","268684",""
"13030311","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","526771",""
"130304","Gospodarska diplomacija","89730",""
"13030402","Gospodarska diplomacija","89730",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","56205409",""
"1401","Upravljanje sistemov javne uprave na državni in lokalni ravni","45494774",""
"140104","Lokalna samouprava","45494774",""
"14010401","Investicije v občinah","45494774",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","10710634",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","10710634",""
"14030107","Sistem kohezijske politike","7089117",""
"14030108","Vodenje regionalne politike","3621517",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","6100000",""
"1603","Oblikovanje rezerv in intervencijski programi","6100000",""
"160303","Oblikovanje in vzdrževanje blagovnih rezerv","6100000",""
"16030301","Blagovne rezerve","6100000",""
"2131","Urad Republike Slovenije za intelektualno lastnino","1938271",""
"01","PODJETNIŠTVO IN KONKURENČNOST","1938271",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","1938271",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","1938271",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","1938271",""
"2132","Urad Republike Slovenije za meroslovje","3925108",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","3925108",""
"0201","Visoko šolstvo","619",""
"020102","Visokošolska infrastruktura","619",""
"02010201","Investicije v visoko šolstvo in študentske domove","619",""
"0202","Znanstveno - raziskovalna dejavnost","1460881",""
"020203","Raziskovalna infrastruktura","1460881",""
"02020303","Nabava merilne opreme za potrebe meroslovne infrastrukture v RS","1460881",""
"0204","Urejanje sistema, podporne dejavnosti in administracija na področju visokega šolstva, znanstveno - raziskovalne in tehnološke politike ter informacijske družbe","2463608",""
"020401","Urejanje sistema, podporne dejavnosti in administracija na področju visokega šolstva, znanstveno-raziskovalne in tehnološke politike ter informacijske družbe","2463608",""
"02040103","Dejavnosti s področja meroslovja","698391",""
"02040105","Urejanje sistema ter izvajanje strokovnih in administrativnih nalog","1765217",""
"2133","Tržni inšpektorat Republike Slovenije","5335550",""
"01","PODJETNIŠTVO IN KONKURENČNOST","5335550",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","5335550",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","5335550",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","5335550",""
"2135","Urad RS za varstvo konkurence","625479",""
"01","PODJETNIŠTVO IN KONKURENČNOST","625479",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","625479",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","625479",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","625479",""
"233","MINISTRSTVO ZA KMETIJSTVO IN OKOLJE","544269290",""
"2330","Ministrstvo za kmetijstvo in okolje","456224997",""
"01","PODJETNIŠTVO IN KONKURENČNOST","386782",""
"0102","Spodbujanje rasti in razvoja podjetij","386782",""
"010204","Podpora prestrukturiranju nefinančnih družb","386782",""
"01020405","Zapiranje rudnika Žirovski vrh","386782",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","1846737",""
"0203","Tehnologija in informacijska družba","1846737",""
"020301","Podpora tehnološkim razvojnim projektom","1846737",""
"02030103","Spodbujanje tehnološkega razvoja in inovativnosti","1846737",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","334914640",""
"0801","Kmetijstvo","290554447",""
"080101","Ukrepi za stabilizacijo trga","142271609",""
"08010101","Informiranje in promocija ter podporne dejavnosti v kmetijski proizvodnji","4191109",""
"08010102","Neposredna plačila v kmetijstvu","121578944",""
"08010103","Podpora kmetijskim in živilskim podjetjem","26913",""
"08010104","Ukrepi za ureditev kmetijskih trgov","16474643",""
"080102","Ukrepi razvoja podeželja","148282838",""
"08010201","Program razvoja podeželja","137908274",""
"08010202","Urejanje kmetijskega prostora","1114432",""
"08010203","Podporne dejavnosti za izvajanje ukrepov razvoja podeželja","9260132",""
"0802","Gozdarstvo","21505349",""
"080201","Gozdarstvo","21505349",""
"08020101","Podporno okolje za gozdarstvo","1266840",""
"08020102","Vlaganja v gozdove","19956124",""
"08020103","Zagotavljanje deleža gozdov s poudarjenim javnim interesom","282385",""
"0803","Ribištvo","4574737",""
"080301","Ribištvo","4574737",""
"08030101","Naložbe v sektor ribištva","3688098",""
"08030102","Upravljanje z ribolovnimi viri v celinskih vodah in morju","886639",""
"0804","Varna hrana in veterinarstvo","8789094",""
"080401","Varna hrana in veterinarstvo","8789094",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","715795",""
"08040102","Ohranjanje rastlinskih in živalskih genskih virov, zagotavljanje kvalitetnega semenskega materiala in izvajanje rejskih programov","7920444",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","500",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","152355",""
"0805","Urejanje sistema, podporne dejavnosti in administracija na področju kmetijstva, gozdarstva, ribištva in prehrane","9491013",""
"080501","Urejanje sistema kmetijstva, gozdarstva, ribištva in prehrane","9491013",""
"08050101","Podporne dejavnosti in administracija MKGP","9491013",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","100612011",""
"0901","Trajnostno upravljanje z naravnimi viri","84242130",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","84242130",""
"09010101","Ravnanje z odpadki","12652706",""
"09010102","Trajnostna raba voda in upravljanje z njimi","71589424",""
"0902","Ohranjanje biotske raznovrstnosti","7260497",""
"090201","Ohranjanje biotske raznovrstnosti in varstvo naravnih vrednot","7260497",""
"09020102","Izvajanje strokovnih in upravljavskih nalog ohranjanja narave","6317835",""
"09020103","Ustanavljanje in zagotavljanje delovanja ostalih zavarovanih območij in neposredni nadzor v naravi","10000",""
"09020104","Zagotavljanje biološke varnosti","108906",""
"09020105","Zagotavljanje pogojev za ohranjanje biotske raznovrstnosti in varstva naravnih vrednot","823756",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","9109384",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","9109384",""
"09040103","Oblikovanje podnebnih politik in zakonodaje, ter izvajanje","251377",""
"09040107","Horizontalne dejavnosti na področju varstva okolja","6680616",""
"09040109","Informiranje, ozaveščanje, nevladne organizacije","112534",""
"09040110","Mednarodni projekti in mednarodno sodelovanje","546375",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","1518482",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","195650",""
"1202","Podpora nevladnih organizacij in civilne družbe","195650",""
"120201","Podpora nevladnih organizacij in civilne družbe","195650",""
"12020107","Podpora nevladnih organizacij in civilne družbe","195650",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","709426",""
"1303","Zunanja politika","709426",""
"130303","Razvojno sodelovanje in humanitarna pomoč","709426",""
"13030312","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","337387",""
"13030314","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","372039",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","262905",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","262905",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","262905",""
"14030107","Sistem kohezijske politike","262905",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","17296846",""
"1603","Oblikovanje rezerv in intervencijski programi","17296846",""
"160302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","17296846",""
"16030201","Posebna proračunska rezerva in programi pomoči v primerih nesreč","17256846",""
"16030202","Naravne nesreče v kmetijstvu","40000",""
"2331","Agencija Republike Slovenije za kmetijske trge in razvoj podeželja","10408372",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","10408372",""
"0801","Kmetijstvo","10408372",""
"080101","Ukrepi za stabilizacijo trga","9996417",""
"08010101","Informiranje in promocija ter podporne dejavnosti v kmetijski proizvodnji","1304",""
"08010102","Neposredna plačila v kmetijstvu","9995113",""
"080102","Ukrepi razvoja podeželja","411955",""
"08010201","Program razvoja podeželja","406027",""
"08010203","Podporne dejavnosti za izvajanje ukrepov razvoja podeželja","5928",""
"2332","Fitosanitarna uprava Republike Slovenije","3499092",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","3499092",""
"0804","Varna hrana in veterinarstvo","3499092",""
"080401","Varna hrana in veterinarstvo","3499092",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","156748",""
"08040102","Ohranjanje rastlinskih in živalskih genskih virov, zagotavljanje kvalitetnega semenskega materiala in izvajanje rejskih programov","693238",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","2649106",""
"2333","Veterinarska uprava Republike Slovenije","28535588",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","28535588",""
"0804","Varna hrana in veterinarstvo","28535588",""
"080401","Varna hrana in veterinarstvo","28535588",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","893204",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","19979983",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","7662402",""
"2334","Agencija Republike Slovenije za okolje","33091687",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","32972981",""
"0901","Trajnostno upravljanje z naravnimi viri","15932853",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","15101007",""
"09010101","Ravnanje z odpadki","589753",""
"09010102","Trajnostna raba voda in upravljanje z njimi","14511254",""
"090102","Zmanjševanje in preprečevanje emisij v zrak","831847",""
"09010201","Nadzor nad emisijami v zrak","831847",""
"0902","Ohranjanje biotske raznovrstnosti","1251038",""
"090201","Ohranjanje biotske raznovrstnosti in varstvo naravnih vrednot","1251038",""
"09020105","Zagotavljanje pogojev za ohranjanje biotske raznovrstnosti in varstva naravnih vrednot","1251038",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","15789089",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","15789089",""
"09040107","Horizontalne dejavnosti na področju varstva okolja","1603334",""
"09040109","Informiranje, ozaveščanje, nevladne organizacije","215166",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","3409261",""
"09040113","Spremljanje, analiziranje in napovedovanje stanja v okolju","10561328",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","118706",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","118706",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","118706",""
"14030107","Sistem kohezijske politike","118706",""
"2335","Uprava Republike Slovenije za jedrsko varnost","2287922",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","2039507",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2039507",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2039507",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","1825504",""
"09040114","Zagotavljanje ustrezne uporabe jedrske energije in virov sevanja","214003",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","248415",""
"1303","Zunanja politika","248415",""
"130303","Razvojno sodelovanje in humanitarna pomoč","248415",""
"13030314","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","248415",""
"2336","Inšpektorat Republike Slovenije za kmetijstvo, gozdarstvo, hrano in okolje","10221632",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","7462668",""
"0804","Varna hrana in veterinarstvo","7462668",""
"080401","Varna hrana in veterinarstvo","7462668",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","7462668",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","2758964",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2758964",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2758964",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","2758964",""
"243","MINISTRSTVO ZA INFRASTRUKTURO IN PROSTOR","509011617",""
"2430","Ministrstvo za infrastrukturo in prostor","320388765",""
"01","PODJETNIŠTVO IN KONKURENČNOST","7206689",""
"0102","Spodbujanje rasti in razvoja podjetij","7000000",""
"010204","Podpora prestrukturiranju nefinančnih družb","7000000",""
"01020404","Zapiranje rudnikov in sanacija rudarske škode","7000000",""
"0103","Spodbujanje konkurenčnosti na regionalni ravni","206689",""
"010301","Razvoj regij","206689",""
"01030106","Mednarodno teritorialno sodelovanje","206689",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","11610467",""
"0203","Tehnologija in informacijska družba","11610467",""
"020303","Elektronske komunikacije","11610467",""
"02030301","Gradnja odprtih širokopasovnih omrežij","11610467",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","235770288",""
"0601","Promet in prometna infrastruktura","144386583",""
"060101","Železniški promet in infrastruktura","127435313",""
"06010101","Investicije in vzdrževanje JŽI","82308345",""
"06010102","Upravljanje z JŽI","45126968",""
"060102","Cestni promet in infrastruktura","5160687",""
"06010202","Razvoj avtocestnega omrežja in cestnega prometa","5160687",""
"060103","Zračni promet in letališka infrastruktura","11227589",""
"06010301","Razvoj letališč in letališke infrastrukture","7150000",""
"06010302","Zračni promet","4077589",""
"060104","Pomorski promet in pristaniška  infrastruktura","562994",""
"06010402","Pomorski promet","562994",""
"0602","Trajnostna mobilnost","86322304",""
"060201","Trajnostna mobilnost","86322304",""
"06020101","Upravljanje celovitega prometno-logističnega modela","86322304",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","5061402",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","5061402",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","5061402",""
"07","ENERGETIKA","55256484",""
"0701","Oskrba z energijo","250000",""
"070101","Proizvodnja energije","250000",""
"07010101","Podpora projektom na OVE in energetski infrastrukturi","250000",""
"0702","Obnovljivi viri energije in energetska učinkovitost","51526484",""
"070201","Spodbujanje učinkovite rabe in obnovljivih virov energije","51526484",""
"07020101","Financiranje izvajanja programov informiranja, ozaveščanja, promocije in usposabljanja, energetskih pregledov, študij izvedljivosti in energetskega svetovanja (EN SVET)","500000",""
"07020102","Spodbujanje ukrepov energetske učinkovitosti in povečanje količine toplote iz OVE","49010204",""
"07020104","Podpora podprogramu 070201","2016280",""
"0703","Rudarstvo","50000",""
"070301","Gospodarjenje in raziskovanje mineralnih surovin","50000",""
"07030102","Izvajanje globokih vrtin","50000",""
"0704","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","3430000",""
"070401","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","3430000",""
"07040102","Izvajanje javne gospodarske dejavnosti na področju geoloških raziskav","350000",""
"07040103","Skrb za zanesljivo, ekonomsko upravičeno, trajno in okolju prijazno oskrbo z energijo","830000",""
"07040104","Zagotavljanje zanesljivega in varnega ravnanja z radioaktivnimi odpadki","1200000",""
"07040105","Arbitražni postopek za NEK","1050000",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","9578447",""
"0903","Stanovanjska in komunalna politika ter urejanje prostora","6725441",""
"090301","Spodbujanje stanovanjske gradnje","3953103",""
"09030101","Reševanje stanovanjske problematike","3953103",""
"090302","Upravljanje s prostorom","2772338",""
"09030201","Alpska konvencija","30000",""
"09030202","Graditev objektov","77876",""
"09030203","Informiranje in ozaveščanje","39484",""
"09030204","Prostorsko načrtovanje in urejanje prostora","2624978",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2853006",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","2853006",""
"09040109","Informiranje, ozaveščanje, nevladne organizacije","9643",""
"09040110","Mednarodni projekti in mednarodno sodelovanje","45484",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","2797879",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","170945",""
"1303","Zunanja politika","170945",""
"130303","Razvojno sodelovanje in humanitarna pomoč","170945",""
"13030314","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","170945",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","795444",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","795444",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","795444",""
"14030107","Sistem kohezijske politike","795444",""
"2431","Direkcija Republike Slovenije za ceste","155299182",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","154994451",""
"0601","Promet in prometna infrastruktura","153852852",""
"060102","Cestni promet in infrastruktura","153852852",""
"06010201","Investicijsko vzdrževanje in gradnja državnih cest","70912531",""
"06010203","Upravljanje in tekoče vzdrževanje državnih cest","82940321",""
"0602","Trajnostna mobilnost","256599",""
"060201","Trajnostna mobilnost","256599",""
"06020101","Upravljanje celovitega prometno-logističnega modela","256599",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","885000",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","885000",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","885000",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","254284",""
"0901","Trajnostno upravljanje z naravnimi viri","254284",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","254284",""
"09010102","Trajnostna raba voda in upravljanje z njimi","254284",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","50447",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","50447",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","50447",""
"14030107","Sistem kohezijske politike","50447",""
"2432","Uprava Republike Slovenije za pomorstvo","6404566",""
"04","IZOBRAŽEVANJE IN ŠPORT","20000",""
"0401","Formalno izobraževanje in usposabljanje","20000",""
"040103","Srednje splošno in poklicno šolstvo","20000",""
"04010301","Dejavnost srednjega šolstva (splošnega, strokovnega in poklicnega)","20000",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","6077997",""
"0601","Promet in prometna infrastruktura","6077997",""
"060104","Pomorski promet in pristaniška  infrastruktura","6077997",""
"06010401","Investicije v pristaniško infrastrukturo","3464000",""
"06010402","Pomorski promet","2613997",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","306569",""
"0901","Trajnostno upravljanje z naravnimi viri","306569",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","306569",""
"09010102","Trajnostna raba voda in upravljanje z njimi","306569",""
"2433","Geodetska uprava Republike Slovenije","18119547",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","18119547",""
"0903","Stanovanjska in komunalna politika ter urejanje prostora","100000",""
"090302","Upravljanje s prostorom","100000",""
"09030204","Prostorsko načrtovanje in urejanje prostora","100000",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","18019547",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","18019547",""
"09040105","Evidentiranje nepremičnin","12370012",""
"09040106","Geodezija, topografija in kartografija","1391133",""
"09040108","Informatizacija na področju okolja in prostora","1514990",""
"09040111","Množično vrednotenje nepremičnin","1311943",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","1431469",""
"2434","Inšpektorat Republike Slovenije za promet, energetiko in prostor","8799557",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","2199100",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","2199100",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","2199100",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","2199100",""
"07","ENERGETIKA","1802775",""
"0704","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","1802775",""
"070401","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","1802775",""
"07040101","Izvajanje inšpekcijskega nadzora nad spoštovanjem predpisov iz področja energetike in rudarstva","1802775",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","4797682",""
"0904","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","4797682",""
"090401","Urejanje sistema, podporne dejavnosti in administracija na področju okoljske in prostorske politike","4797682",""
"09040112","Podporne dejavnosti ministrstva,  organov v sestavi in drugih državnih organov","4797682",""
"26","MINISTRSTVO ZA DELO, DRUŽINO IN SOCIALNE ZADEVE","1678103667",""
"2611","Ministrstvo za delo, družino in socialne zadeve","1673801504",""
"03","TRG DELA","448459453",""
"0301","Aktivna politika zaposlovanja","149343360",""
"030101","Svetovanje in pomoč pri iskanju zaposlitve","36542053",""
"03010101","Dejavnost svetovanja in pomoč pri iskanju zaposlitve","36542053",""
"030102","Usposabljanje in izobraževanje","20512707",""
"03010201","Dejavnosti usposabljanja in izobraževanja","20512707",""
"030103","Spodbujanje zaposlovanja in samozaposlovanja","44242403",""
"03010301","Dejavnost spodbujanje zaposlovanja in samozaposlovanja","44242403",""
"030104","Socialno vključevanje in socialno podjetništvo","39676613",""
"03010401","Dejavnosti za socialno vključevanje","39676613",""
"030105","Podpora zaposlovanju in rehabilitacija invalidov","7314870",""
"03010501","Podpora pri zaposlovanju invalidov","2169846",""
"03010502","Zaposlitvena rehabilitacija","5145024",""
"030106","Neformalno in informalno izobraževanje in usposabljanje","1054714",""
"03010601","Razvoj nacionalne kvalifikacijske strukture","718788",""
"03010602","Vseživljenjsko učenje","335926",""
"0302","Pasivna politika zaposlovanja","297694521",""
"030201","Prejemki in pravice brezposelnih oseb","297694521",""
"03020101","Sistem socialne varnosti brezposelnih","297694521",""
"0303","Urejanje sistema, podporne dejavnosti in administracija na področju trga dela","1421572",""
"030301","Urejanje sistema, podporne dejavnosti in administracija na področju trga dela","1421572",""
"03030102","Podporna dejavnost za zaposlovanje in usposabljanje","799407",""
"03030103","Program PROGRESS","250000",""
"03030105","Zagotavljanje varnosti in zdravja pri delu","372165",""
"04","IZOBRAŽEVANJE IN ŠPORT","129302326",""
"0401","Formalno izobraževanje in usposabljanje","129302326",""
"040106","Štipendije","111651542",""
"04010602","Štipendiranje","111651542",""
"040107","Pomoči šolajočim","17650784",""
"04010701","Pomoči v visokem šolstvu","17650784",""
"05","KULTURA","609982",""
"0501","Kultura","609982",""
"050102","Ohranjanje kulturne dediščine","609982",""
"05010201","Nepremična in premična dediščina","609982",""
"10","SOCIALNA VARNOST","1092128385",""
"1001","Socialno varstvo","413369645",""
"100101","Socialne pomoči, varstveni dodatki in drugi transferi za zagotavljanje socialne varnosti","306185211",""
"10010101","Dodelitev transferjev za materialno ogrožene","208464240",""
"10010102","Podelitev transferjev vojnim invalidom, vojnim veteranom in žrtvam vojnega nasilja","68800000",""
"10010104","Dodelitev transferjev za varstvo duševno in telesno prizadetih","28920971",""
"100102","Socialno varstvene storitve","88721142",""
"10010201","Delovanje Centrov za socialno delo","46166459",""
"10010202","Delovanje Varstveno delovnih centrov","28588543",""
"10010203","Delovanje Zavodov za usposabljanje","13966140",""
"100103","Programi socialnega varstva in izenačevanje možnosti za invalide","18463292",""
"10010301","Usmerjena strokovna socialna in psihosocialna pomoč različnim ranljivim skupinam ter polno, enakopravno sodelovanje, vključevanje in izenačevanje možnosti invalidov oz njihovo socialno vključevanje","18217106",""
"10010302","Izvajanje odprte metode koordinacije (OMK) na področju socialne zaščite in socialnega vključevanja","212490",""
"10010303","Izvedba programa PROGRESS za invalide","30000",""
"10010304","Aktivnosti v okviru Evropskega leta boja proti revščini","3696",""
"1002","Varstvo otrok in družine","658335224",""
"100201","Družinski prejemki in starševska nadomestila","648154342",""
"10020101","Zagotavljanje osnovne socialne varnosti v času odsotnosti iz dela zaradi otroka","366547199",""
"10020102","Zagotavljanje dodatnih sredstev otrokom za posebno nego in varstvo","14651516",""
"10020103","Zagotavljanje dodatnih sredstev za otroka od njegovega rojstva do konca njegovega šolanja (maksimalno do 26. leta starosti)","266455627",""
"10020104","Zagotavljanje dodatnih sredstev otrokom delavcev, zaposlenih v Sloveniji (iz drugih držav EU)","500000",""
"100202","Programi v pomoč družini","3123000",""
"10020201","Izplačevanje nadomestil preživnin","2650000",""
"10020202","Vključevanje družin, otrok in mladostnikov v programe NVO","337500",""
"10020203","Ozaveščanje ciljne populacije na področju družine, otrok in mladostnikov","40500",""
"10020204","Zagotavljanje strokovnih podlag za uvajanje novih ukrepov družinske politike","95000",""
"100203","Rejništvo","7057882",""
"10020302","Spodbujanje izvajanja kvalitetnega rejništva in promocije te dejavnosti","3882",""
"10020303","Usposabljanja za izvajanje rejniške dejavnosti","74000",""
"10020304","Zagotavljanje osnovne socialne varnosti otroku in rejniku v času trajanja rejništva","6980000",""
"1004","Dolgotrajna oskrba","4481874",""
"100401","Institucionalna dolgotrajna oskrba","3621082",""
"10040101","Izvajanje enovitega sistema dolgotrajne oskrbe","3621082",""
"100402","Dolgotrajna oskrba na domu","860792",""
"10040201","Izvajanje dolgotrajne oskrbe v neinstitucionalni obliki - pomoč na domu","860792",""
"1005","Varstvo obolelih","650000",""
"100501","Bolniška nadomestila in drugi transferi obolelim","650000",""
"10050101","Plačilo odškodnin po ZOPDA","650000",""
