"A","Bilanca odhodkov","9652121502 9362820683 97,00",""
"1303","Zunanja politika","76287113 75083125 98,42",""
"130301","Politična  diplomacija","23304740 22652934 97,20",""
"13030101","Izvajanje zunanje politike","23304740 22652934 97,20",""
"130302","Dejavnosti diplomatsko-konzularnih predstavništev in konzularna pomoč","42369385 42068498 99,29",""
"13030201","Diplomatsko konzularna mreža","42369385 42068498 99,29",""
"130303","Razvojno sodelovanje in humanitarna pomoč","10404766 10122451 97,29",""
"13030306","Bilateralno razvojno sodelovanje","10404766 10122451 97,29",""
"130304","Gospodarska diplomacija","208222 239242 114,90",""
"13030401","Gospodarska diplomacija","208222 239242 114,90",""
"19","MINISTRSTVO ZA OBRAMBO","462424141 448287727 96,94",""
"1911","Ministrstvo za obrambo","57308671 53116170 92,68",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","3521801 851366 24,17",""
"0202","Znanstveno - raziskovalna dejavnost","600000 213184 35,53",""
"020201","Raziskovalni programi in projekti","600000 213184 35,53",""
"02020105","Znanstvene raziskave za potrebe programa Obramba in zaščita","600000 213184 35,53",""
"0203","Tehnologija in informacijska družba","2921801 638182 21,84",""
"020301","Podpora tehnološkim razvojnim projektom","2921801 638182 21,84",""
"02030105","Potrebe programa obramba in zaščita","2921801 638182 21,84",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","53786870 52264804 97,17",""
"1301","Obramba in zaščita","53786870 52264804 97,17",""
"130103","Upravljanje obrambnega sistema in krizno upravljanje","53786870 52264804 97,17",""
"13010302","Nadzor na področju Obrambe in zaščite","14166 13894 98,08",""
"13010303","Zagotavljanje pogojev za delovanje programa Obrambe in zaščite","33292020 32378790 97,26",""
"13010305","Vodenje in upravljanje na področju Obrambe in zaščite","2391980 2436230 101,85",""
"13010306","Obrambna politika in obrambno planiranje","5734939 5539705 96,60",""
"13010307","Krizno upravljanje","3784464 3462170 91,48",""
"13010308","Civilne zmogljivosti za mednarodne operacije in misije","425798 391446 91,93",""
"13010309","Zagotavljanje kadra za vojaško obrambo","2794667 2734202 97,84",""
"13010310","Obveščevalne, protiobveščevalne in varnostne naloge","5348835 5308368 99,24",""
"1912","Uprava RS za zaščito in reševanje","37553425 34579881 92,08",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","306569 0 0,00",""
"0901","Trajnostno upravljanje z naravnimi viri","306569 0 0,00",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","306569 0 0,00",""
"09010102","Trajnostna raba voda in upravljanje z njimi","306569 0 0,00",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","37246856 34579881 92,84",""
"1301","Obramba in zaščita","36935914 34268939 92,78",""
"130102","Varstvo pred naravnimi in drugimi nesrečami","36935914 34268939 92,78",""
"13010203","Delovanje reševalnih služb in sestavov (komisije, enote in štabi CZ) in ocenjevanja škode  po naravnih in drugih nesrečah","386180 441173 114,24",""
"13010204","Informacijski in komunikacijski sistem na področju VNDN","3019814 2991424 99,06",""
"13010205","Izobraževanje in usposabljanje, preverjanje usposobljenosti pripadnikov sil za ZRP  ter izvajanje seznanitev prebivalcev s temami s področja ZiR","2657606 2428112 91,36",""
"13010207","Oblikovanje in vzdrževanje državnih rezerv materialnih sredstev in opremljanje štabov, enot in služb civilne zaščite na ravni države","1582974 911526 57,58",""
"13010209","Preventivna dejavnost","628719 652152 103,73",""
"13010212","Odzivnost in delovanje reševalnih enot","6992536 7431263 106,27",""
"13010213","Zagotavljanje materialnih in kadrovskih virov za delovanje sistema VNDN","10490614 10497697 100,07",""
"13010214","Zagotavljanje VNDN na mednarodni ravni","1177471 1105487 93,89",""
"13010215","Požarni sklad","10000000 7810105 78,10",""
"1303","Zunanja politika","310942 310942 100,00",""
"130303","Razvojno sodelovanje in humanitarna pomoč","310942 310942 100,00",""
"13030308","Mednarodno razvojno sodelovanje","310942 310942 100,00",""
"1913","Inšpektorat RS za varstvo pred naravnimi in drugimi nesrečami","2709830 2639001 97,39",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","2709830 2639001 97,39",""
"1301","Obramba in zaščita","2709830 2639001 97,39",""
"130102","Varstvo pred naravnimi in drugimi nesrečami","2709830 2639001 97,39",""
"13010206","Načrtovanje in izvedba inšpekcijskih nadzorov ter zagotavljanje pogojev za delovanje inšpektorata","2709830 2639001 97,39",""
"1914","Generalštab Slovenske vojske","363966094 357078989 98,11",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","363966094 357078989 98,11",""
"1301","Obramba in zaščita","363966094 357078989 98,11",""
"130101","Vojaška obramba","363966094 357078989 98,11",""
"13010101","Članstvo v mednarodnih organizacijah in sodelovanje z domačim okoljem","4993650 4668879 93,50",""
"13010102","Infrastruktura in opremljanje SV","32220486 30593004 94,95",""
"13010103","Operativno delovanje in pripravljenost SV","70660911 63688894 90,13",""
"13010104","Upravljanje, izobraževanje in oskrba kadrov","256091047 258128213 100,80",""
"1915","Inšpektorat RS za obrambo","886121 873685 98,60",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","886121 873685 98,60",""
"1301","Obramba in zaščita","886121 873685 98,60",""
"130103","Upravljanje obrambnega sistema in krizno upravljanje","886121 873685 98,60",""
"13010302","Nadzor na področju Obrambe in zaščite","886121 873685 98,60",""
"20","MINISTRSTVO ZA PRAVOSODJE","65303602 60249009 92,26",""
"2011","Ministrstvo za pravosodje","25255594 19666548 77,87",""
"04","IZOBRAŽEVANJE IN ŠPORT","16410 4669 28,45",""
"0401","Formalno izobraževanje in usposabljanje","16410 4669 28,45",""
"040106","Štipendije","16410 4669 28,45",""
"04010601","Štipendiranje","16410 4669 28,45",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","202906 164845 81,24",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","202906 164845 81,24",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","202906 164845 81,24",""
"14030107","Sistem kohezijske politike","202906 164845 81,24",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","25036278 19497034 77,88",""
"1501","Pravosodje","4450000 34310 0,77",""
"150103","Izvrševanje kazenskih sankcij","4400000 0 0,00",""
"15010301","Izvrševanje kazenskih sankcij","4400000 0 0,00",""
"150105","Alternativno reševanje pravosodnih sporov","50000 34310 68,62",""
"15010501","Izobraževanje nevtralnih oseb","50000 34310 68,62",""
"1503","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","20586278 19462724 94,54",""
"150301","Urejanje sistema, podporne dejavnosti in administracija na področju institucij pravne države, svobode in varnosti","20586278 19462724 94,54",""
"15030102","Podpora pravosodnemu sistemu","20586278 19462724 94,54",""
"2020","Uprava RS za izvrševanje kazenskih sankcij","40048008 40582460 101,33",""
"11","ZDRAVSTVENO VARSTVO","2000000 2877123 143,86",""
"1101","Zdravstveno varstvo","2000000 2877123 143,86",""
"110106","Zdravstveno zavarovanje določenih kategorij prebivalstva","2000000 2877123 143,86",""
"11010601","Izvrševanje kazenskih sankcij","2000000 2877123 143,86",""
"15","INSTITUCIJE PRAVNE DRŽAVE, SVOBODE IN VARNOSTI","38048008 37705338 99,10",""
"1501","Pravosodje","38048008 37705338 99,10",""
"150103","Izvrševanje kazenskih sankcij","38048008 37705338 99,10",""
"15010301","Izvrševanje kazenskih sankcij","38048008 37705338 99,10",""
"21","MINISTRSTVO ZA GOSPODARSTVO","265271499 244334968 92,11",""
"2111","Ministrstvo za gospodarstvo","253674837 233736441 92,14",""
"01","PODJETNIŠTVO IN KONKURENČNOST","150562339 161198600 107,06",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","66943161 79472975 118,72",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","66943161 79472975 118,72",""
"01010101","JAPTI","2390000 2120352 88,72",""
"01010102","Podporno okolje za podjetništvo","3341320 3232150 96,73",""
"01010103","Razvojni centri slovenskega gospodarstva","42054730 55214166 131,29",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","15321612 15181677 99,09",""
"01010105","Urejanje in sooblikovanje mednarodnega poslovnega okolja","110817 106602 96,20",""
"01010106","Podpora podprogramu 010101","3724682 3618027 97,14",""
"0102","Spodbujanje rasti in razvoja podjetij","80569690 78776005 97,77",""
"010201","Spodbude za rast in razvoj podjetij","20266192 20164926 99,50",""
"01020101","Podpora  rasti in razvoj podjetij","19743829 19683463 99,69",""
"01020105","Podpora podprogramu 010201","522363 481463 92,17",""
"010202","Spodbujanje tujih investicij in odprtosti gospodarstva","17597406 19797625 112,50",""
"01020201","Dodeljevanje finančnih spodbud in financiranje","13517013 16625541 123,00",""
"01020202","Podporne, promocijske in pospeševalne aktivnosti","3274992 2528568 77,21",""
"01020203","Podpora podprogramu 010202","805401 643516 79,90",""
"010203","Podpora razvoja turizma","26163425 23452266 89,64",""
"01020301","Razvoj človeških virov in dvig kakovosti","581602 581602 100,00",""
"01020302","Razvoj turističnih destinacij","1758752 1244163 70,74",""
"01020303","Spodbujanje investicij v turistično in drugo za turizem pomembno infrastrukturo","14994788 12940244 86,30",""
"01020304","Trženje in promocija slovenskega turizma","8347700 8262994 98,99",""
"01020305","Podpora podprogramu 010203","480583 423263 88,07",""
"010204","Podpora prestrukturiranju nefinančnih družb","16542667 15361188 92,86",""
"01020403","Reševanje in prestrukturiranje  podjetij","3067252 1690723 55,12",""
"01020404","Zapiranje rudnikov in sanacija rudarske škode","13146104 13293341 101,12",""
"01020406","Podpora podprogramu 010204","329311 377124 114,52",""
"0104","Urejanje sistema, podporne dejavnosti in administracija na področju spodbujanja podjetništva in konkurenčnosti","3049488 2949621 96,73",""
"010401","Dejavnosti institucij, tehnična pomoč in administracija na področju spodbujanja podjetništva in konkurenčnosti","3049488 2949621 96,73",""
"01040101","Generalni sekretariat","3049488 2949621 96,73",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","69323856 44987181 64,89",""
"0202","Znanstveno - raziskovalna dejavnost","4418185 3773597 85,41",""
"020202","Človeški viri v podporo znanosti, visokega šolstva in tehnološkega razvoja","4418185 3773597 85,41",""
"02020201","Človeški viri v podporo gospodarstvu","4418185 3773597 85,41",""
"0203","Tehnologija in informacijska družba","64905671 41213584 63,50",""
"020301","Podpora tehnološkim razvojnim projektom","64905671 41213584 63,50",""
"02030102","Spodbujanje tehnološkega razvoja in inovativnosti","64905671 41213584 63,50",""
"07","ENERGETIKA","22314961 17971239 80,53",""
"0701","Oskrba z energijo","136760 122244 89,39",""
"070101","Proizvodnja energije","136760 122244 89,39",""
"07010101","Podpora projektom na OVE in energetski infrastrukturi","136760 122244 89,39",""
"0702","Obnovljivi viri energije in energetska učinkovitost","18401510 14397114 78,24",""
"070201","Spodbujanje učinkovite rabe in obnovljivih virov energije","18401510 14397114 78,24",""
"07020101","Financiranje izvajanja programov informiranja, ozaveščanja, promocije in usposabljanja, energetskih pregledov, študij izvedljivosti in energetskega svetovanja (EN SVET)","626370 616127 98,36",""
"07020102","Spodbujanje ukrepov energetske učinkovitosti in povečanje količine toplote iz OVE","15735444 11824466 75,15",""
"07020104","Podpora podprogramu 070201","2039696 1956522 95,92",""
"0703","Rudarstvo","1342000 1292000 96,27",""
"070301","Gospodarjenje in raziskovanje mineralnih surovin","1342000 1292000 96,27",""
"07030101","Ekološka in tehnološka sanacija Nafte Lendava","1342000 1292000 96,27",""
"0704","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","2434691 2159881 88,71",""
"070401","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","2434691 2159881 88,71",""
"07040102","Izvajanje javne gospodarske dejavnosti na področju geoloških raziskav","350000 350000 100,00",""
"07040103","Skrb za zanesljivo, ekonomsko upravičeno, trajno in okolju prijazno oskrbo z energijo","643876 540742 83,98",""
"07040104","Zagotavljanje zanesljivega in varnega ravnanja z radioaktivnimi odpadki","1371815 1029685 75,06",""
"07040105","Arbitražni postopek za NEK","69000 239454 347,03",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","1088704 1075465 98,78",""
"1303","Zunanja politika","1088704 1075465 98,78",""
"130303","Razvojno sodelovanje in humanitarna pomoč","514951 503579 97,79",""
"13030311","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","514951 503579 97,79",""
"130304","Gospodarska diplomacija","573753 571886 99,67",""
"13030402","Gospodarska diplomacija","573753 571886 99,67",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","1443800 946597 65,56",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1443800 946597 65,56",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","1443800 946597 65,56",""
"14030107","Sistem kohezijske politike","1443800 946597 65,56",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","8941177 7557359 84,52",""
"1603","Oblikovanje rezerv in intervencijski programi","8941177 7557359 84,52",""
"160303","Oblikovanje in vzdrževanje blagovnih rezerv","8941177 7557359 84,52",""
"16030301","Blagovne rezerve","8941177 7557359 84,52",""
"2120","Urad RS za varstvo potrošnikov","815258 651545 79,92",""
"01","PODJETNIŠTVO IN KONKURENČNOST","815258 651545 79,92",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","815258 651545 79,92",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","815258 651545 79,92",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","815258 651545 79,92",""
"2121","Urad RS za varstvo konkurence","801915 678419 84,60",""
"01","PODJETNIŠTVO IN KONKURENČNOST","801915 678419 84,60",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","801915 678419 84,60",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","801915 678419 84,60",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","801915 678419 84,60",""
"2123","Tržni inšpektorat RS","5748297 5569971 96,90",""
"01","PODJETNIŠTVO IN KONKURENČNOST","5748297 5569971 96,90",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","5748297 5569971 96,90",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","5748297 5569971 96,90",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","5748297 5569971 96,90",""
"2126","Urad RS za intelektualno lastnino","2577557 2164195 83,96",""
"01","PODJETNIŠTVO IN KONKURENČNOST","2577557 2164195 83,96",""
"0101","Poslovno okolje za podjetništvo in konkurenčnost","2577557 2164195 83,96",""
"010101","Poslovno okolje za podjetništvo in konkurenčnost","2577557 2164195 83,96",""
"01010104","Sooblikovanje poslovnega okolja na enotnem trgu","2577557 2164195 83,96",""
"2128","Inšpektorat Republike Slovenije za energetiko in rudarstvo","1653635 1534396 92,79",""
"07","ENERGETIKA","1653635 1534396 92,79",""
"0704","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","1653635 1534396 92,79",""
"070401","Urejanje sistema, podporne dejavnosti in administracija na področju energetike","1653635 1534396 92,79",""
"07040101","Izvajanje inšpekcijskega nadzora nad spoštovanjem predpisov iz področja energetike in rudarstva","1653635 1534396 92,79",""
"23","MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO","432324233 421645032 97,53",""
"2311","Ministrstvo za kmetijstvo, gozdarstvo in prehrano","373317100 365049964 97,79",""
"02","VISOKO ŠOLSTVO, ZNANOST, TEHNOLOGIJA IN INFORMACIJSKA DRUŽBA","2302228 2239689 97,28",""
"0203","Tehnologija in informacijska družba","2302228 2239689 97,28",""
"020301","Podpora tehnološkim razvojnim projektom","2302228 2239689 97,28",""
"02030103","Spodbujanje tehnološkega razvoja in inovativnosti","2302228 2239689 97,28",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","370202890 362059429 97,80",""
"0801","Kmetijstvo","321771587 316220613 98,27",""
"080101","Ukrepi za stabilizacijo trga","169526138 163755486 96,60",""
"08010101","Informiranje in promocija ter podporne dejavnosti v kmetijski proizvodnji","6434812 6028440 93,68",""
"08010102","Neposredna plačila v kmetijstvu","138761466 141717676 102,13",""
"08010103","Podpora kmetijskim in živilskim podjetjem","533776 376610 70,56",""
"08010104","Ukrepi za ureditev kmetijskih trgov","23796085 15632760 65,69",""
"080102","Ukrepi razvoja podeželja","152245448 152465127 100,14",""
"08010201","Program razvoja podeželja","137915635 138663738 100,54",""
"08010202","Urejanje kmetijskega prostora","2954144 2437776 82,52",""
"08010203","Podporne dejavnosti za izvajanje ukrepov razvoja podeželja","11375670 11363613 99,89",""
"0802","Gozdarstvo","26298076 26128272 99,35",""
"080201","Gozdarstvo","26298076 26128272 99,35",""
"08020101","Podporno okolje za gozdarstvo","1503828 1465008 97,42",""
"08020102","Vlaganja v gozdove","24402269 24321919 99,67",""
"08020103","Zagotavljanje deleža gozdov s poudarjenim javnim interesom","391979 341345 87,08",""
"0803","Ribištvo","6837089 4924400 72,02",""
"080301","Ribištvo","6837089 4924400 72,02",""
"08030101","Naložbe v sektor ribištva","5508322 3858245 70,04",""
"08030102","Upravljanje z ribolovnimi viri v celinskih vodah in morju","1328767 1066155 80,24",""
"0804","Varna hrana in veterinarstvo","11885450 11480869 96,60",""
"080401","Varna hrana in veterinarstvo","11885450 11480869 96,60",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","1339883 1201181 89,65",""
"08040102","Ohranjanje rastlinskih in živalskih genskih virov, zagotavljanje kvalitetnega semenskega materiala in izvajanje rejskih programov","9277559 9164474 98,78",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","5000 0 0,00",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","1263008 1115215 88,30",""
"0805","Urejanje sistema, podporne dejavnosti in administracija na področju kmetijstva, gozdarstva, ribištva in prehrane","3410689 3305275 96,91",""
"080501","Urejanje sistema kmetijstva, gozdarstva, ribištva in prehrane","3410689 3305275 96,91",""
"08050101","Podporne dejavnosti in administracija MKGP","3410689 3305577 96,92",""
"08050102","Sodelovanje z EU in mednarodnimi integracijami","0 -302 ---",""
"12","INSTITUCIJE POLITIČNEGA SISTEMA IN CIVILNE DRUŽBE","200000 195650 97,82",""
"1202","Podpora nevladnih organizacij in civilne družbe","200000 195650 97,82",""
"120201","Podpora nevladnih organizacij in civilne družbe","200000 195650 97,82",""
"12020107","Podpora nevladnih organizacij in civilne družbe","200000 195650 97,82",""
"13","NACIONALNA VARNOST, OBRAMBA IN ZUNANJE ZADEVE","561982 550483 97,95",""
"1303","Zunanja politika","561982 550483 97,95",""
"130303","Razvojno sodelovanje in humanitarna pomoč","561982 550483 97,95",""
"13030312","Multilateralno razvojno sodelovanje in druge multilateralne mednarodne obveznosti","481982 481982 100,00",""
"13030313","Tesno medinstitucionalno sodelovanje (namenska sredstva EU)","80000 68501 85,63",""
"16","SERVISIRANJE JAVNEGA DOLGA, PLAČILA V EVROPSKO UNIJO IN REZERVE","50000 4713 9,43",""
"1603","Oblikovanje rezerv in intervencijski programi","50000 4713 9,43",""
"160302","Posebna proračunska rezerva in programi pomoči v primerih nesreč","50000 4713 9,43",""
"16030202","Naravne nesreče v kmetijstvu","50000 4713 9,43",""
"2312","Veterinarska uprava RS","33019204 32583323 98,68",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","33019204 32583323 98,68",""
"0804","Varna hrana in veterinarstvo","33019139 32583258 98,68",""
"080401","Varna hrana in veterinarstvo","33019139 32583258 98,68",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","1472457 1083070 73,56",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","23478340 23609007 100,56",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","8068343 7891180 97,80",""
"0805","Urejanje sistema, podporne dejavnosti in administracija na področju kmetijstva, gozdarstva, ribištva in prehrane","65 65 100,00",""
"080501","Urejanje sistema kmetijstva, gozdarstva, ribištva in prehrane","65 65 100,00",""
"08050101","Podporne dejavnosti in administracija MKGP","65 65 100,00",""
"2314","Inšpektorat RS za kmetijstvo, gozdarstvo in hrano","8224454 8044860 97,82",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","8224454 8044860 97,82",""
"0804","Varna hrana in veterinarstvo","8224454 8044860 97,82",""
"080401","Varna hrana in veterinarstvo","8224454 8044860 97,82",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","23000 5383 23,40",""
"08040105","Zagotavljanje varnosti in kakovosti hrane in krme","8201454 8039477 98,03",""
"2318","Agencija RS za kmetijske trge in razvoj podeželja","13286211 11553640 86,96",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","13286211 11553640 86,96",""
"0801","Kmetijstvo","13188529 11462535 86,91",""
"080101","Ukrepi za stabilizacijo trga","8626304 7165719 83,07",""
"08010101","Informiranje in promocija ter podporne dejavnosti v kmetijski proizvodnji","3123579 1895870 60,70",""
"08010102","Neposredna plačila v kmetijstvu","3771418 3641174 96,55",""
"08010104","Ukrepi za ureditev kmetijskih trgov","1731308 1628675 94,07",""
"080102","Ukrepi razvoja podeželja","4562225 4296817 94,18",""
"08010201","Program razvoja podeželja","4511657 4245991 94,11",""
"08010203","Podporne dejavnosti za izvajanje ukrepov razvoja podeželja","50568 50826 100,51",""
"0803","Ribištvo","97682 91104 93,27",""
"080301","Ribištvo","97682 91104 93,27",""
"08030101","Naložbe v sektor ribištva","97682 91104 93,27",""
"2321","Fitosanitarna uprava RS","4477264 4413246 98,57",""
"08","KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","4477264 4413246 98,57",""
"0804","Varna hrana in veterinarstvo","4477264 4413246 98,57",""
"080401","Varna hrana in veterinarstvo","4477264 4413246 98,57",""
"08040101","Informatizacija, registri, obveščanje, izobraževanje","310817 297583 95,74",""
"08040102","Ohranjanje rastlinskih in živalskih genskih virov, zagotavljanje kvalitetnega semenskega materiala in izvajanje rejskih programov","836512 840505 100,48",""
"08040103","Preventivno zdravstveno varstvo rastlin in živali","3329935 3275158 98,36",""
"24","MINISTRSTVO ZA PROMET","537084361 483950430 90,11",""
"2411","Ministrstvo za promet","213700851 184453339 86,31",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","213277629 184186669 86,36",""
"0601","Promet in prometna infrastruktura","171720543 139422772 81,19",""
"060101","Železniški promet in infrastruktura","144820914 125858630 86,91",""
"06010101","Investicije in vzdrževanje JŽI","117537812 97970564 83,35",""
"06010102","Upravljanje z JŽI","27283103 27888066 102,22",""
"060102","Cestni promet in infrastruktura","20511616 8774436 42,78",""
"06010202","Razvoj avtocestnega omrežja in cestnega prometa","20511616 8774436 42,78",""
"060103","Zračni promet in letališka infrastruktura","5642873 4174608 73,98",""
"06010301","Razvoj letališč in letališke infrastrukture","1424226 535590 37,61",""
"06010302","Zračni promet","4218647 3639018 86,26",""
"060104","Pomorski promet in pristaniška  infrastruktura","745140 615098 82,55",""
"06010402","Pomorski promet","745140 615098 82,55",""
"0602","Trajnostna mobilnost","36355546 39948324 109,88",""
"060201","Trajnostna mobilnost","36355546 39948324 109,88",""
"06020101","Upravljanje celovitega prometno-logističnega modela","36355546 39948324 109,88",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","5201539 4815574 92,58",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","5201539 4815574 92,58",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","5201539 4815574 92,58",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","423222 266670 63,01",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","423222 266670 63,01",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","423222 266670 63,01",""
"14030107","Sistem kohezijske politike","423222 266670 63,01",""
"2412","Uprava RS za pomorstvo","6626036 2683038 40,49",""
"04","IZOBRAŽEVANJE IN ŠPORT","23000 23000 100,00",""
"0401","Formalno izobraževanje in usposabljanje","23000 23000 100,00",""
"040103","Srednje splošno in poklicno šolstvo","23000 23000 100,00",""
"04010301","Dejavnost srednjega šolstva (splošnega, strokovnega in poklicnega)","23000 23000 100,00",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","6253036 2660038 42,54",""
"0601","Promet in prometna infrastruktura","6253036 2660038 42,54",""
"060104","Pomorski promet in pristaniška  infrastruktura","6253036 2660038 42,54",""
"06010401","Investicije v pristaniško infrastrukturo","3694720 49008 1,33",""
"06010402","Pomorski promet","2558316 2611030 102,06",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","350000 0 0,00",""
"0901","Trajnostno upravljanje z naravnimi viri","350000 0 0,00",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","350000 0 0,00",""
"09010102","Trajnostna raba voda in upravljanje z njimi","350000 0 0,00",""
"2415","Direkcija RS za ceste","187815783 178424576 95,00",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","187520316 178252473 95,06",""
"0601","Promet in prometna infrastruktura","168935661 164588968 97,43",""
"060102","Cestni promet in infrastruktura","168935661 164588968 97,43",""
"06010201","Investicijsko vzdrževanje in gradnja državnih cest","76693814 71574923 93,33",""
"06010203","Upravljanje in tekoče vzdrževanje državnih cest","92241847 93014045 100,84",""
"0602","Trajnostna mobilnost","17621753 12816378 72,73",""
"060201","Trajnostna mobilnost","17621753 12816378 72,73",""
"06020101","Upravljanje celovitega prometno-logističnega modela","17621753 12816378 72,73",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","962902 847127 87,98",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","962902 847127 87,98",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","962902 847127 87,98",""
"09","OKOLJSKA IN PROSTORSKA POLITIKA","240000 120435 50,18",""
"0901","Trajnostno upravljanje z naravnimi viri","240000 120435 50,18",""
"090101","Trajnostno upravljanje z naravnimi viri in izgradnja okoljske infrastrukture","240000 120435 50,18",""
"09010102","Trajnostna raba voda in upravljanje z njimi","240000 120435 50,18",""
"14","UPRAVLJANJE SISTEMOV JAVNE UPRAVE","55467 51668 93,15",""
"1403","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","55467 51668 93,15",""
"140301","Urejanje sistema, podporne dejavnosti in administracija na področju upravljanja sistemov javne uprave","55467 51668 93,15",""
"14030107","Sistem kohezijske politike","55467 51668 93,15",""
"2418","Prometni inšpektorat RS","2309972 2346249 101,57",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","2309972 2346249 101,57",""
"0603","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","2309972 2346249 101,57",""
"060301","Urejanje sistema, podporne dejavnosti in administracija na področju prometa","2309972 2346249 101,57",""
"06030101","Urejanje sistema na področju prometa in prometne infrastrukture","2309972 2346249 101,57",""
"2423","Direkcija za vodenje investicij JŽI","126631720 116043227 91,64",""
"06","PROMET IN PROMETNA INFRASTRUKTURA","126631720 116043227 91,64",""
"0601","Promet in prometna infrastruktura","105325462 94746854 89,96",""
"060101","Železniški promet in infrastruktura","105325462 94746854 89,96",""
"06010101","Investicije in vzdrževanje JŽI","85591875 77829225 90,93",""
"06010102","Upravljanje z JŽI","19733587 16917629 85,73",""
"0602","Trajnostna mobilnost","21286731 21282305 99,98",""
"060201","Trajnostna mobilnost","21286731 21282305 99,98",""
"06020101","Upravljanje celovitega prometno-logističnega modela","21286731 21282305 99,98",""
